標題,連結,發布日期
"“史賽克”手術器械 (未滅菌/滅菌)回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10456","2014-07-31"
"“百特”迷你帽（含優碘溶液）回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10457","2014-07-31"
"“醫科特”醫用帶電粒子放射治療諮詢系統軟體安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10463","2014-07-31"
"＂韋倫＂攜帶式生理監視器安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10464","2014-07-31"
"呼吸器-“哈明頓”呼吸系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10465","2014-07-31"
"羅氏全方位血糖機組安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10466","2014-07-31"
"“美敦力”手術導航系統等回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10467","2014-07-31"
"＂維爾＂引捷克艾捷莉空針微量輸液幫浦安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10468","2014-07-31"
"＂信迪思＂ 骨螺釘植入物回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10469","2014-07-31"
"“彼得斯外科”卡蒂席爾外科縫合線安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10470","2014-07-31"
"＂西美＂人工膝關節","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10471","2014-07-31"
"＂萬力＂直線加速器","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10472","2014-07-31"
"＂愛德華＂芬-弗列克股動/動脈導管及導引管組等回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10473","2014-07-31"
"亞培 m2000sp 全自動檢體處理系統 (未滅菌)安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10474","2014-07-31"
"“亞培” m24檢體處理系統","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10475","2014-07-31"
"“史賽克”動力式可調整式病床(未滅菌)安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10476","2014-07-31"
"＂美敦力＂來沛去顫器安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10477","2014-07-31"
"“舒視氧高透氧隱形眼鏡濕潤型”回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10479","2014-07-31"
"“美敦力”深層腦部刺激導線","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10480","2014-07-31"
"＂飛利浦＂核醫/電腦斷層系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10481","2014-07-31"
"“羅氏”血液氣體電解質分析儀 cobas b 221安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10482","2014-07-31"
"＂維特司＂ 腫瘤抗原CA 19-9免疫檢測試劑組回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10483","2014-07-31"
"“史賽克”超音波手術裝置安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10484","2014-07-31"
"“衛寶”Ultrafilter U9000安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10485","2014-07-31"
"＂飛利浦＂放射治療模擬計畫系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10486","2014-07-31"
"〝博醫來〞立體定位治療計畫系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10514","2015-01-14"
"“雷度”血液氣體分析系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10515","2015-01-14"
"“艾科”冷凍治療系統回收訊息","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10528","2014-12-26"
"“飛利浦”超音波系統安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10530","2014-12-26"
"“飛利浦”定量軟體安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10531","2014-12-26"
"“邁柯唯”雙腔靜脈引流灌注導管　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10682","2013-01-01"
"“曲克”利弗爾周邊血管支架　　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10683","2013-02-05"
"＂貝克曼庫爾特＂ 全自動生化分析儀 (未滅菌)　　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10701","2013-02-06"
"＂費雪派克＂ 呼吸管路組及附件(未滅菌)　　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10702","2013-02-06"
"“赫士睿”輸液幫浦　　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10703","2013-02-06"
"“艾爾奎福特”瑪格瑞斯邁克套接葉片硬式喉頭鏡 (未滅菌)","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10772","2015-01-27"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10773","2013-09-17"
"“德曼遜”鐵校正試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10774","2013-02-12"
"威達獅D-二聚體第二代試劑組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10775","2013-02-12"
"貝克曼庫爾特 協康葡萄糖試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10776","2013-02-12"
"＂美敦力＂ 史賓特導線 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10777","2013-02-12"
"＂泰爾茂＂ 新一代人工心肺灌注系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10778","2013-02-12"
"亞培設計師睪丸脂酮試劑組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10779","2013-02-12"
"“富士”數位X光攝影系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10780","2013-02-12"
"“亞諾”帕曼心臟血管攝影導管 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10781","2013-02-12"
"＂飛利浦＂電腦斷層攝影診斷裝置、＂飛利浦＂ 電腦斷層造影系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10782","2013-02-12"
"羅氏加強型乳酸試紙 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10783","2013-02-12"
"“亞祿加”超音波掃描儀 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10784","2013-02-12"
"髖關節系統植入物 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10785","2013-02-12"
"＂西門子＂ 全身診斷用X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10786","2013-02-12"
"“洛明尼斯”博舒雷射儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10787","2013-02-12"
"“西門子”鹼性磷酸酶 (AMP法)試劑組、鹼性磷酸酶 (二乙醇胺法) 試劑組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10788","2013-02-12"
"史塔瑞生物滅菌指示劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12167","2013-04-15"
"貝克曼庫爾特協康乳酸試劑 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12168","2013-04-15"
"＂希姆＂ 移動式C型臂X光機 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12169","2013-04-15"
"＂亞路加＂超音波掃描儀 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12170","2013-04-15"
"“費雪派克”愛康正壓呼吸輔助器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12171","2013-04-15"
"＂維特司＂5,1 FS化學分析儀、維特司3600免疫診斷分析儀、維特司5600生化免疫分析儀、維特司 4600 化學分析儀(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12172","2013-04-15"
"＂維特司＂5,1 FS化學分析儀、維特司5600生化免疫分析儀、維特司 4600 化學分析儀(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12173","2013-04-15"
"＂飛利浦＂核醫/電腦斷層系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12174","2013-04-15"
"“斐瑞頌”格萊索電子影像喉頭鏡系統 (滅菌/未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12175","2013-04-15"
"“斐瑞頌”格萊索電子影像喉頭鏡系統 (滅菌/未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12176","2013-04-15"
"＂西美＂ 取皮機組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12177","2013-04-15"
"伯瑞 多工影像化系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12178","2013-04-15"
"“倍瑞可隆”纖溶酶活化物抑制劑試劑 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12179","2013-04-15"
"＂奇異＂核磁共振掃描裝置 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12180","2013-04-15"
"“因特”內視鏡手術輔助系統","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12181","2013-04-15"
"＂安使別克＂高速器鑽馬達系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12182","2013-04-15"
"“因特”內視鏡手術輔助系統","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12183","2013-04-15"
"＂必帝＂ 微生物鑑定組(滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12184","2013-04-15"
"＂愛惜康＂愛喜龍安德派思縫合器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12185","2013-04-15"
"“安培”腹腔鏡組織夾持鉗及剪刀 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12186","2013-04-15"
"＂飛利浦＂ 電腦斷層造影系統、＂飛利浦＂ 正子/電腦斷層掃描系統、＂飛利浦＂電腦斷層攝影診斷裝置 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12187","2013-04-15"
"＂必帝＂ B27型人類白血球抗原分類檢驗組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12188","2013-04-15"
"＂美敦力迷你美＂ 拋棄式輸液套組、＂美敦力＂斜形輸液套、＂美敦力＂圓形輸液套 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12189","2013-04-15"
"“美敦力”新可美輸注系統、“美敦力”再充填組套 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12190","2013-04-15"
"“美敦力”新可美輸注系統、“美敦力”再充填組套 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12191","2013-04-15"
"“美敦力”新可美輸注系統、“美敦力”再充填組套 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12192","2013-04-15"
"＂博士倫＂舒樂人工水晶體、＂博士倫＂舒博人工水晶體 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13657","2015-07-24"
"＂西門子＂ 血管攝影系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13660","2015-07-24"
"羅氏多款檢驗試劑(肌酸酐、乳酸、葡萄糖、三酸甘油脂、膽固醇、尿酸等類別) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13680","2015-07-28"
"“西美”可旋式人工股骨修補系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13681","2015-07-28"
"“因特”內視鏡器械及配件 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13682","2015-07-28"
"“美敦力”脊椎導航手術用器械、“美敦力”脊椎導航手術器械、“美敦力” 特利亞導航系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13791","2015-07-30"
"“磊仕”多重睡眠生理記錄儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13792","2015-07-30"
"“捷邁脊椎”手動式骨科手術器械 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13793","2015-07-30"
"“捷邁”骨釘系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13794","2015-07-30"
"“飛利浦”心臟電擊復甦器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13795","2015-07-30"
"“飛利浦”心血管X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13796","2015-07-30"
"＂曲克＂ 皇家血管攝影導管、＂曲克＂託鏗血管攝影導管、＂曲克＂史利普血管攝影導管、＂曲克＂史利普導引導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13799","2015-07-31"
"＂貝克曼庫爾特＂全自動生化分析儀(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13851","2015-08-06"
"“醫科特”醫用帶電粒子放射治療諮詢系統軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13852","2015-08-06"
"＂西門子＂ 核醫影像系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13853","2015-08-06"
"“美德康”矽質血液透析導管與配件 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13854","2015-08-06"
"“索倫”史塔克冷熱溫度控制儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13858","2015-08-07"
"“邁柯唯”手術台及附件(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13859","2015-08-07"
"“核通” 放射治療計劃系統軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13880","2015-08-13"
"羅氏多款檢驗試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13881","2015-08-13"
