年份,職稱,姓名,性別,專長
"103-104","委員","陳莉茵","女","消費者保護"
"103-104","委員","陳惠文","男","毒理學"
"103-104","委員","陳暉雯","女","營養學"
"103-104","委員","陳筱筠","女","醫學"
"103-104","委員","傅偉光","男","食品科學 "
"103-104","委員","温譽鈴","女","食品科學"
"103-104","委員","游家芷","女","藥學"
"103-104","委員","程仁華","男","營養學"
"103-104","委員","黃志揚","男","生物科學"
"103-104","委員","黃秀華","女","營養學"
"103-104","委員","黃孟雯","女","化學"
"103-104","委員","葉國偉","男","醫學"
"103-104","委員","葉嘉新","男","生物科學"
"103-104","委員","詹明曉","男","藥學"
"103-104","委員","廖姿雅","女","化學"
"103-104","委員","趙有誠","男","醫學"
"103-104","委員","劉興華","男","毒理學"
"103-104","委員","劉燦宏","男","醫學"
"103-104","委員","劉嚞睿","男","生物科學"
"103-104","委員","蔡政志","男","食品科學 "
"103-104","委員","蔡英傑","男","生物科學"
"103-104","委員","蔡國珍","女","食品科學"
"103-104","委員","蔡瓊姿","女","運動科學"
"103-104","委員","蔣育錚","男","食品科學 "
"103-104","委員","鄭幼文","女","毒理學"
"103-104","委員","鄭永銘","男","病理學"
"103-104","委員","鄭瑞棠","男","醫學"
"103-104","委員","蕭寧馨","女","營養學"
"103-104","委員","蕭錫延","男","食品科學 "
"103-104","委員","賴怡君","女","醫學"
"103-104","委員","謝仁宗","男","藥學"
"103-104","委員","謝明哲","男","營養學"
"103-104","委員","簡文斌","男","毒理學"
"103-104","委員","顏宗海","男","毒理學"
"103-104","委員","羅慧珍","女","營養學"
"103-104","委員","蘇秀悅","女","營養學"
"103-104","委員","蘇南維","男","食品科學 "
"103-104","委員","蘇銘嘉","男","藥學"
"103-104","委員","龔瑞林","男","食品科學 "
"101-102","委員","王朝鐘 ","男","疾病預防/生化學 "
"101-102","委員","王銘富 ","男","營養學 "
"101-102","委員","江孟燦 ","男","食品科學 "
"101-102","委員","何橈通 ","男","醫學 "
"101-102","委員","吳文勉 ","女","免疫學/營養學 "
"101-102","委員","吳亮宜 ","女","營養學/食品科學 "
"101-102","委員","呂廷璋 ","男","食品分析/食品化學 "
"101-102","委員","李宗貴 ","男","營養學 "
"101-102","委員","李 輝 ","男","毒理學 "
"101-102","委員","沈立言 ","男","營養學 "
"101-102","委員","阮琪昌 ","男","生理學 "
"101-102","委員","周志輝 ","男","食品化學 "
"101-102","委員","林文川 ","男","藥理學 "
"101-102","委員","林文元 ","男","醫學 "
"101-102","委員","林佳靜 ","女","生物化學/毒物學 "
"101-102","委員","林幸榮 ","男","醫學 "
"101-102","委員","林首愈 ","女","醫藥法規 "
"101-102","委員","林嬪嬪 ","女","毒理學 "
"101-102","委員","邱智賢 ","男","生理學 "
"101-102","委員","侯家瑋 ","男","醫學 "
"101-102","委員","柯俊良 ","男","毒理學 "
"101-102","委員","孫璐西 ","女","食品科學 "
"101-102","委員","翁芸芳 ","女","毒理學/藥學/生物化學 "
"101-102","委員","翁祖輝 ","男","毒理學 "
"101-102","委員","袁國芳 ","女","真菌學/分子遺傳/微生物學 "
"101-102","委員","康宏佑 ","男","醫學/骨科 "
"101-102","委員","張素瓊 ","女","營養生理學/分子營養學 "
"101-102","委員","張啟仁 ","男","醫學 "
"101-102","委員","張菡馨 ","女","營養學 "
"101-102","委員","許惠恒 ","男","醫學 "
"101-102","委員","許 輔 ","男","食品化學/免疫學 "
"101-102","委員","許輝吉 ","男","病理學 "
"101-102","委員","郭孟怡 ","女","食品分析/儀器分析/食品科學 "
"101-102","委員","郭家驊 ","男","運動營養學 "
"101-102","委員","郭敏玲 ","女","免疫 "
"101-102","委員","陳小玲 ","女","食品生物技術 "
"101-102","委員","陳甘霖 ","男","安定性評估 "
"101-102","委員","陳忠仁 ","男","臨床免疫學 "
"101-102","委員","陳俊榮 ","男","營養學 "
"101-102","委員","陳炳輝 ","男","食品科學 "
"101-102","委員","陳陸宏 ","男","食品科學 "
"101-102","委員","陳惠文 ","男","毒理學 "
"101-102","委員","陳暉雯 ","女","營養學 "
"101-102","委員","傅偉光 ","男","食品檢驗分析 "
"101-102","委員","斐 馰 ","男","醫學 "
"101-102","委員","黃惠宇","女","營養與代謝 "
"101-102","委員","黃麗卿 ","女","醫學 "
"101-102","委員","楊品珍 ","女","醫學 "
"101-102","委員","葉國偉 ","男","免疫學 "
"101-102","委員","葉爵榮 ","男","藥學 "
"101-102","委員","趙振瑞 ","男","營養生化學 "
"101-102","委員","劉興華 ","男","毒理學 "
"101-102","委員","劉燦宏 ","男","醫學/肥胖流行病學 "
"101-102","委員","劉麗雲 ","女","營養學 "
"101-102","委員","歐陽鍾美 ","女","營養學 "
"101-102","委員","潘子明 ","男","食品科學 "
"101-102","委員","蔣恩沛 ","女","營養生化學 "
"101-102","委員","蔡國珍 ","女","食品科學 "
"101-102","委員","蔡敬民 ","男","營養學 "
"101-102","委員","蔡肇基 ","男","臨床免疫學/過敏病學 "
"101-102","委員","蔡鏞申 ","男","運動醫學 "
"101-102","委員","鄭幼文 ","女","毒理學 "
"101-102","委員","鄭永銘 ","男","肝臟病理學 "
"101-102","委員","鄭瑞棠 ","男","藥學 "
"101-102","委員","蕭寧馨 ","男","營養學 "
"101-102","委員","蕭錫延 ","男","營養學 "
"101-102","委員","謝明哲 ","男","營養學 "
"101-102","委員","顏國欽 ","男","食品科學 "
"101-102","委員","蘇銘嘉 ","男","藥學 "
"101-102","委員","龔瑞林 ","男","食品科學"
"99-100","委員","王朝鐘","男","生化學"
"99-100","委員","江孟燦","男","食品科學"
"99-100","委員","李宗貴","男","營養學"
"99-100","委員","沈立言","男","營養學"
"99-100","委員","吳亮宜","女","營養學"
"99-100","委員","林幸榮","男","醫學"
"99-100","委員","孫璐西","女","食品科學"
"99-100","委員","殷儷容","女","食品科學"
"99-100","委員","翁祖輝","男","毒理學"
"99-100","委員","郭孟怡","女","營養學"
"99-100","委員","陳甘霖","男","藥學"
"99-100","委員","陳幸臣","男","食品科學"
"99-100","委員","陳俊榮","男","營養學"
"99-100","委員","陳陸宏","男","食品科學"
"99-100","委員","陳暉雯","女","營養學"
"99-100","委員","彭巧珍","女","營養學"
"99-100","委員","黃璟隆","男","藥學/醫學"
"99-100","委員","楊素卿","女","營養學"
"99-100","委員","劉興華","男","毒理學"
"99-100","委員","劉麗雲","女","營養學"
"99-100","委員","潘子明","男","食品科學"
"99-100","委員","蔡國珍","女","食品科學"
"99-100","委員","蔡敬民","男","營養學"
"99-100","委員","鄭幼文","女","毒理學/營養學"
"99-100","委員","鄭瑞棠","男","藥學"
"99-100","委員","蕭寧馨","男","營養學"
"99-100","委員","謝明哲","男","營養學"
"99-100","委員","簡怡雯","女","營養學"
"99-100","委員","顏國欽","男","食品科學"
"99-100","委員","蘇銘嘉","男","藥學"
"99-100","委員","龔瑞林","男","食品科學"
"99-100","委員","徐粹烈","男","醫學"
"99-100","委員","黃麗卿","女","醫學"
"99-100","委員","王維慶","男","醫學"
"99-100","委員","鄒孟婷","女","醫學/中醫藥"
"99-100","委員","何橈通","男","醫學"
"99-100","委員","許惠恒","男","醫學"
"99-100","委員","斐  馰","男","醫學"
"99-100","委員","楊品珍","女","醫學"
"99-100","委員","張啟仁","男","醫學"
"99-100","委員","侯家瑋","男","醫學"
"99-100","委員","黃立民","男","醫學"
"99-100","委員","王世杰","男","醫學/骨科"
"99-100","委員","鄭永銘","男","醫學"
"99-100","委員","楊耀旭","男","醫學"
"99-100","委員","劉燦宏","男","醫學/肥胖流行病學"
"99-100","委員","李輝","男","毒理學"
"99-100","委員","柯俊良","男","毒理學"
"99-100","委員","林文川","男","藥理學"
"99-100","委員","郭敏玲","女","免疫"
"99-100","委員","蔡肇基","男","臨床免疫學/過敏病學"
"99-100","委員","許輔","男","免疫分析/食品機能化學"
"99-100","委員","周志輝","男","中草藥"
"99-100","委員","黃惠宇","女","代謝症候群研究/營養與代謝"
"99-100","委員","蔣恩沛","女","分子營養學"
"99-100","委員","吳文勉","女","營養學"
"99-100","委員","趙振瑞","男","營養生化學"
"99-100","委員","蕭錫延","男","營養化學/腸道營養生理"
"99-100","委員","王銘富","男","營養學"
"99-100","委員","蕭明熙","男","食品科學"
"99-100","委員","林佳靜","女","食品科學"
"99-100","委員","郭家驊","男","運動生理/營養學"
"99-100","委員","阮琪昌","男","生理學"
"99-100","委員","蔡櫻蘭","女","運動營養科學"
"99-100","委員","蔡鏞申","男","運動科學"
"99-100","委員","張美惠","女","小兒肝病學、小兒胃腸學"
"99-100","委員","陳小玲","女","食品生物技術"
"99-100","委員","邱智賢","男","動物科學"
"99-100","委員","翁芸芳","女","藥學/毒理學"
