克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02 14 2013 12:00AM		廣告違規	02 14 2013 12:00AM	平面媒體	壹週刊、壹週刊、壹週刊、壹週刊、ef東京衣芙、ef東京衣芙、壹週刊、BEAUTY美人誌、BEAUTY大美人、時報周刊、時報周刊	未違規結案	
得因特青春煉金超能眼霜	/	台北市	02 14 2013 12:00AM		廣告違規	02 14 2013 12:00AM	平面媒體	壹週刊	未違規結案	
資生堂驅黑淨白露	/	台北市	02 23 2013 12:00AM		經查其廣告內容與桃縣粧廣字第10201025號廣告核定表內容相符	02 23 2013 12:00AM	平面媒體	蘋果日報	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	02  1 2013 12:00AM		廣告違規	02  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
迪奧逆時完美再造系列	/	台北市	02  1 2013 12:00AM		廣告違規	02  1 2013 12:00AM	平面媒體	儂儂雜誌	相關案件已處分	
ERNO LASZLO輕奢華全能奇肌粉霜	/	台北市	02 26 2013 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02 26 2013 12:00AM	平面媒體	TVBS周刊	相關案件已處分	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	02 28 2013 12:00AM		廣告違規	02 28 2013 12:00AM	平面媒體	壹週刊	未違規結案	
資生堂驅黑淨白露	/	台北市	02 28 2013 12:00AM		經查其廣告內容與桃縣粧廣字第10201025號廣告核定表內容相符	02 28 2013 12:00AM	平面媒體	壹週刊	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	ef東京衣芙	未違規結案	
資生堂驅黑淨白露	/	台北市	03  1 2013 12:00AM			03  1 2013 12:00AM	平面媒體	自由時報	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	03  4 2013 12:00AM		廣告違規	03  4 2013 12:00AM	平面媒體	商業周刊	未違規結案	
DERM iNSTITUTE得因特青春煉金超能眼霜	/	台北市	03  4 2013 12:00AM		廣告違規	03  4 2013 12:00AM	平面媒體	商業周刊	未違規結案	
Jumelle皺效賦活眼霜	/	台北市	03  6 2013 12:00AM		廣告違規	03  6 2013 12:00AM	平面媒體	蘋果日報	未違規結案	
嬌蘭「藍金水合彈力系列」	香港商法華香水化粧品有限公司台灣分公司/	台北市	03  1 2013 12:00AM		廣告違規	03  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
得因特青春煉金超能眼霜	/	台北市	03  1 2013 12:00AM		廣告違規	03  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
得因特肌因美白系列	/	台北市	03  1 2013 12:00AM		廣告違規	03  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	01  1 2013 12:00AM		廣告違規	01  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
肌膚之鑰精質眼霜	/	台北市	01  1 2013 12:00AM		      臺北市政府衛生局查獲受處分人102年1月1日於儂儂雜誌第344期第44-45頁「肌膚之鑰精質乳霜」（案件編號：  102-0069及102-N00220）化粧品廣告，其廣告宣稱：「…凝具完美功效、香氣、觸感的高機能乳霜，為肌膚調理滿溢青春光采的細胞，更讓肌膚細胞自我完成光采一生。...讓每個肌膚細胞都成為能夠自主發光的『光芒細胞』，為女人的容顏，開啟通往無暇『極上光肌』的完美途徑。」等虛偽誇大字句，但未申請廣告核定表，經受處分人於102年4月15日出具委託裁決聲明書坦承違規屬實在卷，惟受處分人99年至102年4月29日刊登違規廣告共計179件，經各行政單位查獲，業經本府衛生局裁處在案，本案係屬再次違規，違反化粧品衛生管理條例第24條第2項規定，爰依同條例第30條第1項規定加重處分如主旨。	01  1 2013 12:00AM	平面媒體	儂儂雜誌	未違規結案	
ERNO LASZLO細胞再生全能乳霜	翔順國際有限公司/	台北市	01  1 2013 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  1 2013 12:00AM	平面媒體	儂儂雜誌	相關案件已處分	
迪奧逆時完美再造系列	/	台北市	01 25 2013 12:00AM		廣告違規	01 25 2013 12:00AM	平面媒體	自由時報	未違規結案	
克蘭詩超V型緊塑精華	/	台北市	01 25 2013 12:00AM		廣告違規	01 25 2013 12:00AM	平面媒體	時報周刊	未違規結案	
迪奧逆時完美再造系列	/	台北市	01 25 2013 12:00AM		廣告違規	01 25 2013 12:00AM	平面媒體	時報周刊	未違規結案	
迪奧逆時完美再造系列	/	台北市	01 26 2013 12:00AM		廣告違規	01 26 2013 12:00AM	平面媒體	蘋果日報	未違規結案	
Jumelle凍齡奇蹟肌萃	/	台北市	01 30 2013 12:00AM		廣告違規	01 30 2013 12:00AM	平面媒體	蘋果日報	未違規結案	
OLAY PROX特效修護眼霜	寶僑家品股份有限公司/	台北市	01  1 2013 12:00AM		廣告違規	01  1 2013 12:00AM	平面媒體	醫美人雜誌	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	01 31 2013 12:00AM		廣告違規	01 31 2013 12:00AM	平面媒體	壹週刊	未違規結案	
克蘭詩超V型緊塑精華	/	台北市	01 31 2013 12:00AM		廣告違規	01 31 2013 12:00AM	平面媒體	壹週刊	未違規結案	
雅詩蘭黛超智慧DNA特潤眼部修護超導精萃	美商怡佳股份有限公司台灣分公司/	台北市	02  1 2013 12:00AM		傳播業者刊登或宣播未經核准之化粧品廣告	02  1 2013 12:00AM	平面媒體	蘋果日報、時報周刊、BEAUTY大美人、BEAUTY美人誌、時報周刊、時報周刊、蘋果日報、儂儂雜誌、蘋果日報、蘋果日報	未違規結案	
Jumelle凍齡奇蹟肌萃	/	台北市	02  6 2013 12:00AM		廣告違規	02  6 2013 12:00AM	平面媒體	蘋果日報	未違規結案	
伊麗莎白雅頓光纖鑽白系列	荷蘭商伊麗莎白雅頓有限公司台灣分公司/	台北市	02  5 2013 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  5 2013 12:00AM	平面媒體	TVBS周刊、柯夢波丹國際中文版	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	02  7 2013 12:00AM		廣告違規	02  7 2013 12:00AM	平面媒體	壹週刊	未違規結案	
迪奧逆時完美再造系列	/	台北市	02  1 2013 12:00AM		廣告違規	02  1 2013 12:00AM	平面媒體	時報周刊	未違規結案	
克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02  1 2013 12:00AM		廣告違規	02  1 2013 12:00AM	平面媒體	時報周刊	未違規結案	
嬌蘭黃金生命力再造霜	香港商法華香水化粧品有限公司台灣分公司/	台北市	02  5 2013 12:00AM		廣告違規	02  5 2013 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
克蘭詩超V型緊塑精華	新加坡商克蘭詩股份有限公司/	台北市	02  7 2013 12:00AM		廣告違規	02  7 2013 12:00AM	平面媒體	壹週刊	未違規結案	
FANCL全新美肌純化系列	/	台北市	02  1 2013 12:00AM		廣告內容誇大不實	02  1 2013 12:00AM	平面媒體	Girl愛女生	未違規結案	
SK-II超解析光感 鑽白修護霜	瑞士商寶潔家品有限公司台灣分公司/	台北市	02  1 2013 12:00AM		廣告違規	02  1 2013 12:00AM	平面媒體	Girl愛女生、Ray[瑞麗美人]、ef東京衣芙、ef東京衣芙、VOGUE時尚國際中文版、VOGUE時尚國際中文版、壹週刊、MINA米娜時尚國際中文版、GLA-唯我時尚	未違規結案	
香奈兒珍珠光感美白保養系列	/	台北市	02  5 2013 12:00AM		廣告內容誇大不實	02  5 2013 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
薇姿 纖盈按摩S精華	/	台北市	08  1 2013 12:00AM		廣告違規	08  1 2013 12:00AM	平面媒體	BODY體面	未違規結案	
美國原裝DRJOHN抗皺專家童顏組	奈蜜朗生化科技有限公司/		06 22 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 29 2015 12:00AM	電視		未違規結案	
STEMCIN極緻抗老精華霜回饋組	冠品生物科技股份有限公司/		07 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	05  1 2015 12:00AM	電視		相關案件已處分	
LG秀麗韓百酵后藏金鐏組	人因生技有限公司/羅宏仁		10 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05  1 2015 12:00AM	電視	長德有線電視股份有限公司	未違規結案	
DeMon晶鑽松露雙效活萃抗老組	東森蝶蒙股份有限公司/		12  4 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03 27 2015 12:00AM	電視		未違規結案	
金沛兒青春霜	力冠國際股份有限公司/黃貴鳳			化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04  2 2015 12:00AM	電視		未違規結案	
上山採藥龍血素瞬效回齡精華	凱亞有限公司/		09 15 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04  2 2015 12:00AM	電視		未違規結案	
Medmix美肌神皂	喬依國際股份有限公司/		08  7 2015 12:00AM	化粧品衛生管理條例第24條第1項	刊播內容無廣告核定	04  7 2015 12:00AM	電視		未違規結案	
韓國ARONA無暇粉底液	帛采國際有限公司/		10 30 2015 12:00AM		廣告違規	04  8 2015 12:00AM	電視		輔導結案	
Dr.John純物理性防曬霜	奈蜜朗生化科技有限公司/		07 24 2015 12:00AM		廣告違規	04  9 2015 12:00AM	電視		相關案件已處分	
LaBeau類毒血清七日微整緊緻組	日瀅國際有限公司/		10 21 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 10 2015 12:00AM	電視		未違規結案	
Dr.Lrena Eris不老蜂萃青春霜	喬依國際股份有限公司/陸素菁			化粧品衛生管理條例第24條第1項	無廣告核可字號	04 13 2015 12:00AM	電視		未違規結案	
法國Lucas Meyer超透白光導觸控精粹	紐堡國際貿易有限公司/			化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	04  2 2015 12:00AM	電視		未違規結案	
澳洲原裝AUS LIFE國寶綿羊霜	凱亞有限公司/		09 15 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 13 2015 12:00AM	電視		未違規結案	
婕妮絲醫美指定睫毛纖長精華	宇辰國際實業有限公司/		09 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04 13 2015 12:00AM	電視		未違規結案	
I'NESVIA變色唇蜜	東春實業社/		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	04 13 2015 12:00AM	電視		未違規結案	
style以色列養髮素	晉恩股份有限公司/		10 21 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 14 2015 12:00AM	電視		未違規結案	
美國DR.JOHN高效退斑祛黃美白精華	奈蜜朗生化科技有限公司/		07 24 2015 12:00AM		廣告違規	05 10 2015 12:00AM	電視	長德有線電視股份有限公司	相關案件已處分	
DE MON黃金魚子逆齡回春組	東森蝶蒙股份有限公司/		09  4 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 15 2015 12:00AM	電視	長德有線電視股份有限公司	未違規結案	
ARDEN鎖水保濕靚白雙搭組	喬依斯股份有限公司/		10 26 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 12 2015 12:00AM	電視	長德有線電視股份有限公司	未違規結案	
船井醫朵16X超光速美白精華	卡得國際有限公司/		10  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	04 20 2015 12:00AM	電視		未違規結案	
涵沛超涵水鑽白奇蹟限量搶購組	聖泰科技股份有限公司/		09 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	04 22 2015 12:00AM	電視		未違規結案	
GOLDSUITE瞬效微整震動導入儀	東春實業社/		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	04  9 2015 12:00AM	電視		未違規結案	
Dr.John高效褪斑去黃美白精華	奈蜜朗生化科技有限公司/		07 24 2015 12:00AM		廣告違規	04 15 2015 12:00AM	電視		相關案件已處分	
船井醫朵16X超光速美白精華	卡得國際有限公司/		10  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	05 18 2015 12:00AM	電視	長德有線電視股份有限公司	未違規結案	
TIMARU絕世名伶經典香水沐浴	奇威國際洋行有限公司/		06 29 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 22 2015 12:00AM	電視		未違規結案	
Webner激活逆齡玫瑰精油原液	久保雅司國際有限公司/		08 18 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效其刊登或宣播之廣告內容與原核准廣告內容不符	04 27 2015 12:00AM	電視		未違規結案	
AROMASE艾瑪絲 去屑止癢洗髮精	醫麗生技有限公司/				廣告違規	03 27 2014 12:00AM	網路	ETMALL東森購物網	未違規結案	
ISDERMA愛斯德瑪 胺基酸淨白潔顏慕絲	醫麗生技有限公司/				廣告違規	03 27 2014 12:00AM	網路	ETMALL東森購物網	未違規結案	
LAREINA家芙納美白復活精華液	舒爽生化科技股份有限公司/曾國安				查無粧廣字號 本品為植物成分，零負擔，溫和無刺激。阻斷MSH(促黑激素)的傳導、抑制黑色素、抗氧化、極致美白，抗水腫，改善微循環，加強血液迴圈，消除炎症，補充膠原蛋白，滋養、緊致一步到位。成分與功能 ●九勝肽：超強的抗氧化能力，淡化黑斑，迅速美白。同時能刺激膠原蛋白與彈力蛋白形成，有效緊實肌膚及減少細紋，恢復肌膚修復能力，增加皮膚細胞間黏質產生，減少皮膚受損，保護角質細胞遭受紫外線照射造成的傷害。 ●DHEA活膚纖維質：擁有深入肌膚的高滲透率，在有效促進膠原蛋白與彈力蛋白新生的同時，能恢復肌膚自我修護能力，減少細紋、鬆弛與肌膚受損等肌膚問題，從而逆轉皮膚肌齡。 ●五勝肽:填補細胞間質，修復並促進細胞再生，使肌膚緊致有彈性。抗自由基，協助傷口癒合，增加細胞的活力，達到除皺抗老的目地。 ●RovisomeQ10微脂囊輔酶：ROVISOME Q10濃縮來自15種草本的天然抗氧化能量。能迅速在細胞表面形成一層保護膜，有效清除自由基，避免氧化，防止及減少皮膚衰老、皺紋形成。 	03 31 2014 12:00AM	網路	舒爽生化科技股份有限公司	未違規結案	
健康化妝水	/				廣告違規	04  2 2014 12:00AM	網路	ALBION清新律動美人	未違規結案	
【美日多多】mini PRINCESS 粉刺鼻頭潔淨 黑面膜 5ml 	奇益國際有限公司/				廣告違規	03 18 2014 12:00AM	網路	樂天市場	未違規結案	
☆SHILLS☆【SH1401】呼啦小腹俏臂霜200ML 	寶貝窩時尚精品館/湯成禧					03 18 2014 12:00AM	網路	樂天市場	未違規結案	
☆SHILLS☆【SH1402】紅魔纖勻體曲線精華200ML	寶貝窩時尚精品館/湯成禧					03 18 2014 12:00AM	網路	樂天市場	未違規結案	
☆SHILLS☆【SH3477】拍拍小臉提拉還還幼膏	寶貝窩時尚精品館/湯成禧					03 18 2014 12:00AM	網路	樂天市場	未違規結案	
速效抗痘冰珠	台灣萊雅股份有限公司/				廣告違規	04  1 2014 12:00AM	網路	薇姿	未違規結案	
紅萃活妍肌精化妝水(滋潤型)	台灣萊雅股份有限公司/				廣告違規	03 26 2014 12:00AM	網路	植村秀	未違規結案	
黑萃緊顏活化露	台灣萊雅股份有限公司/				廣告違規	04  1 2014 12:00AM	網路	植村秀	未違規結案	
「伊莉特RII683極緻眼唇軟膜」	/				廣告內容宣稱誇大療效	01 14 2014 12:00AM	網路	PC home 商店街	輔導結案	
【ARIEL艾瑞爾】肌因活膚蝸牛潤澤霜	健康快樂股份有限公司/鍾豐仁				其刊登或宣播之廣告內容與原核准廣告內容不符	03 14 2014 12:00AM	網路	東森購物網	未違規結案	
【Lamour藍沐】深海精靈豐潤抗老鑽石眼霜	健康快樂股份有限公司/鍾豐仁				其刊登或宣播之廣告內容與原核准廣告內容不符	03 11 2014 12:00AM	網路	森森購物網	未違規結案	
全世界唯一合法的熊油保養品	/					03 14 2014 12:00AM	網路	台灣黃頁網	輔導結案	
Dr.Douxi美臀美膝去角質霜	天璽生化科技有限公司/張廷宗				其刊登或宣播之廣告內容與原核准廣告內容不符	01 14 2014 12:00AM	網路	PC home 商店街	未違規結案	
APA&lt;沁&gt;調理頭皮手工液皂洗髮精	/					01 14 2014 12:00AM	網路	PC home 商店街	未違規結案	
Priya冰晶修護精萃	秦禾國際企業有限公司/王純云				廣告違規	03  3 2014 12:00AM	網路	森森購物網	未違規結案	
Paris Fragrance薰衣草沐浴乳	巴黎香氛國際有限公司/王慧卿 				舒緩鎮靜,消除緊繃腫脹感 	02 26 2014 12:00AM	網路	森森購物網	未違規結案	
泡澡精油系列-搖滾森巴	/				廣告違規	02 26 2014 12:00AM	網路	森森購物網	未違規結案	
ZIVA明漾肌柔膚水	/				廣告違規	03  3 2014 12:00AM	網路	森森購物網	相關案件已處分	
香聚禮盒組-埃及草藥	/				廣告違規	02 26 2014 12:00AM	網路	森森購物網	未違規結案	
維他命E公主花語潤唇膏-玫瑰	武村股份有限公司/				廣告違規	04  7 2014 12:00AM	網路		未違規結案	
薰衣草修護卸妝油	新靜國際有限公司/				廣告違規	04  7 2014 12:00AM	網路	PC HOME ONLINE商店街	相關案件已處分	
香草集 緊緻美體調理油	香草集股份有限公司/				廣告違規	04  7 2014 12:00AM	網路	PC HOME ONLINE商店街	未違規結案	
Protis 普麗斯3D專業牙托式牙齒美白組	/				其刊登或宣播之廣告內容與原核准廣告內容不符	02 18 2014 12:00AM	網路	亞瑪勁線上購物網	未違規結案	
Ambernimann抗皺撫紋霜	/					02 11 2014 12:00AM	網路	PC home 商店街	輔導結案	
MISS B. PERFECT ME 頂級多效BB水粉霜	美緹股份有限公司/					04  8 2014 12:00AM	網路	PC HOME ONLINE商店街	輔導結案	
Sisley 極致夜間奇蹟再生精質霜	香港商希思黎化妝品有限公司台灣分公司/Mandy Lu	台北市	03 29 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	11  1 2015 12:00AM	平面媒體	VOGUE時尚	未違規結案	
Dr Sebagh 超時空4D精華	台灣蜜納國際股份有限公司/Sherry蔡	台北市	02  1 2016 12:00AM		廣告內容宣稱誇大療效	11  1 2015 12:00AM	平面媒體	VOGUE時尚	輔導結案	
ReVive 超效眼部精華	豐納實業股份有限公司/Yancy Lin	台北市	02  1 2016 12:00AM		廣告內容宣稱誇大療效	11  1 2015 12:00AM	平面媒體	VOGUE時尚	相關案件已處分	
FANCL 水盈肌底液、水盈乳液	香港商無添加化粧品股份有限公司台灣分公司/陳黎立	台北市	01 30 2016 12:00AM		廣告違規	11  1 2015 12:00AM	平面媒體	VOGUE時尚	相關案件已處分	
Birthday 多醣體纖維面膜、多醣體纖維體膜、多醣體纖維spa凍	一成美國際行銷有限公司/	台北市	02 18 2016 12:00AM		廣告違規廣告違規	11  1 2015 12:00AM	平面媒體	VOGUE時尚	輔導結案	
ONCE 極緻青春肌活露	非廠商/徐○彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	11 25 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
Sisley 極致夜間奇蹟再生精質霜	香港商希思黎化妝品有限公司  台灣分公司/	台北市	03 29 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	11  1 2015 12:00AM	平面媒體	ef東京衣芙	未違規結案	
Sisley 抗皺活膚抗皺精華、抗皺活膚極光精華、抗皺活膚緊緻彈力精華、抗皺活膚駐顏霜	香港商希思黎化妝品有限公司  台灣分公司/	台北市	03 29 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	11  1 2015 12:00AM	平面媒體	ef東京衣芙	未違規結案	
髮朵 晶緻柔亮精油、晶緻水漾晶露	台灣蜜納國際股份有限公司/	台北市	02 19 2016 12:00AM		廣告內容宣稱誇大療效	11 26 2015 12:00AM	平面媒體	壹週刊	輔導結案	
雅詩蘭黛 超智慧眼霜	香港商群邑有限公司/傳立/	台北市	01 27 2016 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	11  5 2015 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
NB-1抗皺緊膚4D面膜、NB-1駐顏奇肌白金精華素	自然美生物科技股份有限公司/	台北市	03 14 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	11  5 2015 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
ONCE 極緻青春肌活露	非廠商/徐○彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	12  2 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
ONCE 極緻青春肌活露	非廠商/徐○彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	12  6 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
DARPHIN 百妍極緻舒芙蕾芳香精露	香港商群邑有限公司台灣分公司/	台北市	02 16 2016 12:00AM		廣告違規	12  1 2015 12:00AM	平面媒體	儂儂雜誌	相關案件已處分	
IOPE 水潤光感舒芙蕾粉凝乳RX-極緻緊顏升級版SPF50+ PA+++	香港商群邑有限公司台灣分公司/	台北市	02  3 2016 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	12  1 2015 12:00AM	平面媒體	儂儂雜誌	相關案件已處分	
雅詩蘭黛 超智慧眼霜	香港商群邑有限公司/傳立/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
香奈兒時尚裸光水慕絲粉底等產品	香港商群邑有限公司/傳立/	台北市	12  5 2015 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	12  5 2015 12:00AM	平面媒體		未違規結案	
NB-1抗皺緊膚4D面膜、山藥緊緻霜	自然美生物科技股份有限公司/	台北市	03 14 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
DARPHIN 甘菊芳香精露、甜橘芳香精露、白千層芳香精露、玫瑰芳香精露、橙花芳香精露、茉莉芳香精露、百妍極緻芳香精露、百妍極緻舒芙蕾芳香精露、隨心所欲亮澤芳香精露、花梨木按摩潔面膏、芳香柔潤調理膏、芳香潔淨調理膏	香港商群邑有限公司/傳立/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY美人誌	未違規結案	
仙履蘭花蜜新生霜、仙履蘭花蜜賦活精華	綠祚股份有限公司/	台北市	03  1 2016 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	12  5 2015 12:00AM	平面媒體	BEAUTY美人誌	輔導結案	
雅詩蘭黛 白金級珍璽甦活菁萃油、白金級珍璽甦活輕柔凝霜	MEC媒體庫/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12 14 2015 12:00AM	平面媒體	商業周刊	未違規結案	
雅詩蘭黛 白金級珍璽甦活菁萃油、白金級珍璽甦活輕柔凝霜	香港商群邑有限公司台灣分公司/	台北市	02 16 2016 12:00AM		廣告違規	12  1 2015 12:00AM	平面媒體	VOGUE時尚	相關案件已處分	
香奈兒 奢華精萃賦活油、奢華精質全能賦活精萃、奢華精質賦活眼霜	香港商群邑有限公司台灣分公司/	台北市	02 18 2016 12:00AM		廣告內容宣稱誇大療效	12  1 2015 12:00AM	平面媒體	VOGUE時尚	相關案件已處分	
微晶3D全能系列產品	歐漾國際貿易有限公司/	台北市	12  1 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	12  1 2015 12:00AM	平面媒體		輔導結案	
ONCE 極緻青春肌活露	非廠商/徐0彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	12 16 2015 12:00AM	平面媒體	自由時報	相關案件已處分	
雅詩蘭黛 超智慧眼霜	香港商群邑有限公司/傳立/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
雅詩蘭黛 白金級極緻珍璽甦活菁萃油、雅詩蘭黛 白金級極緻珍璽甦活凝霜	香港商群邑有限公司/傳立/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
