年度月份,抽樣衛生局,檢體名稱,抽驗廠商,檢出項目及殘留容許量
"106年7-9月","臺北市","白蝦仁","全聯實業股份有限公司士林華榮店","合格"
"106年7-9月","臺北市","白蝦仁","大葉高島屋JASON超市中島水產","合格"
"106年7-9月","臺北市","鴨肉","瑞榮燒臘","合格"
"106年7-9月","臺北市","梅花(捲)肉片","泉勝科技(股)復興門市-媽媽魚","合格"
"106年7-9月","臺北市","雞胸","泉勝科技(股)復興門市-媽媽魚","合格"
"106年7-9月","臺北市","安永鮮豚-低脂肉絲","安永鮮物四維門市","合格"
"106年7-9月","臺北市","美國CHOICE翼板牛排-300g","安永鮮物四維門市","合格"
"106年7-9月","臺北市","雞心","秋吉小吃店","合格"
"106年7-9月","臺北市","紐西蘭小羔羊法式羊排-適燒烤","湯瑪仕肉舖","合格"
"106年7-9月","臺北市","草蝦仁","捷安商實業股份有限公司","合格"
"106年7-9月","臺北市","白蝦仁","雅苑粵菜港式飲茶","合格"
"106年7-9月","臺北市","白蝦仁","朝桂興餐廳有限公司","合格"
"106年7-9月","臺北市","冷凍蝦仁","鎮饌股份有限公司","合格"
"106年7-9月","臺北市","劍蝦仁","彩蝶宴有限公司","合格"
"106年7-9月","臺北市","蝦仁","豐隆大飯店股份有限公司","合格"
"106年7-9月","臺北市","豬梅花烤肉片","惠康百貨股份有限公司成功一分公司","合格"
"106年7-9月","臺北市","活菌豬梅花火鍋肉片-冷凍肉","惠康百貨股份有限公司大安分公司","合格"
"106年7-9月","臺北市","彰化芳苑文蛤","惠康百貨股份有限公司大安敦化分公司","合格"
"106年7-9月","臺北市","白蛋","振禾蛋店","合格"
"106年7-9月","臺北市","牛奶文蛤","遠百企業股份有限公司景美分公司","合格"
"106年7-9月","臺北市","嘉義養殖白蝦","遠百企業股份有限公司景美分公司","合格"
"106年7-9月","臺北市","黑胡椒豬排","臺北市農會農特產品展售中心萬隆店","合格"
"106年7-9月","臺北市","嚴選草蝦仁","惠康百貨股份有限公司寶興分公司","合格"
"106年7-9月","臺北市","調理冷凍蝦仁","明儒商行","合格"
"106年7-9月","臺北市","草蝦仁","中興海產行","合格"
"106年7-9月","臺北市","現剝蝦仁","全聯實業股份有限公司萬華雙園分公司","合格"
"106年7-9月","臺北市","草蝦仁","家福股份有限公司臺北桂林分公司","合格"
"106年7-9月","臺北市","冷藏和風炭烤骰子牛肉","惠康百貨股份有限公司","合格"
"106年7-9月","臺北市","文蛤","遠東都會有限公司","合格"
"106年7-9月","臺北市","牡蠣","好市多股份有限公司北投分公司","合格"
"106年7-9月","臺北市","臺灣豬里肌心燒肉片","好市多股份有限公司北投分公司","合格"
"106年7-9月","臺北市","大蝦仁","瓦城泰國料理","合格"
"106年7-9月","臺北市","能量豬-五花火鍋肉片","臺灣樂菲股份有限公司天母分公司","合格"
"106年7-9月","臺北市","掛川完熟里肌肉厚排","臺灣樂菲股份有限公司天母分公司","合格"
"106年7-9月","臺北市","自然豬2片/包","蒔蘿香草餐廳","合格"
"106年7-9月","臺北市","腰內肉50公克(20片)","勝博殿_新光三越天母店","合格"
"106年7-9月","臺北市","梅花肉片","濟州館小吃店有限公司","合格"
"106年7-9月","臺北市","紐西蘭羊肉","Mr.Onion天蔥牛排-臺北新光天母店","合格"
"106年7-9月","臺北市","烏魚子鴨胸","Mr.Onion天蔥牛排-臺北新光天母店","合格"
"106年7-9月","臺北市","清胸肉V","勝博殿新光三越天母店","合格"
"106年7-9月","臺北市","蝦仁","大葉高島屋-銀杏","合格"
"106年7-9月","臺北市","冷凍蝦仁","大葉高島屋-花蓮扁食","合格"
"106年7-9月","臺北市","蝦仁","拿帕里股份有限公司天母分公司","合格"
"106年7-9月","臺北市","大成洗選蛋","宇貹農產產銷股份有限公司","合格"
"106年7-9月","屏東縣","午仔魚","○金海產店","Sulfamethoxazole 0.17 ppm(不得檢出)"
"106年7-9月","雲林縣","豬小里肌肉塊","全聯實業股份有限公司斗六民生分公司","合格"
"106年7-9月","新竹縣","澳洲牛腱","千宇開發股份有限公司","合格"
"106年7-9月","屏東縣","豬五花肉條(帶皮)","全聯實業股份有限公司恆春西門店","合格"
"106年7-9月","臺北市","豬肉排","ANYWHERE CAFE&TRAVEL","合格"
"106年7-9月","臺北市","冷藏豬里肌烤肉片","家福股份有限公司臺北重慶分公司","合格"
"106年7-9月","臺北市","澳洲牛肩里肌牛排","全聯實業股份有限公司大直實踐分公司","合格"
"106年7-9月","臺北市","豬梅花炒肉絲","全聯實業股份有限公司大直實踐分公司","合格"
"106年7-9月","臺北市","雞清胸肉-冷藏肉","惠康百貨股份有限公司大直分公司","合格"
"106年7-9月","臺北市","精選豬絞肉-冷藏肉","惠康百貨股份有限公司大直分公司","合格"
"106年7-9月","臺北市","冷凍羊肉火鍋片","家樂福股份有限公司-臺北大直分公司","合格"
"106年7-9月","臺北市","YG冷藏澳洲穀飼梅花牛排","家樂福股份有限公司-臺北大直分公司","合格"
"106年7-9月","臺北市","太空鴨(切塊)","家樂福股份有限公司-臺北大直分公司","合格"
"106年7-9月","臺北市","冷凍蝦仁","長鴻榮實業股份有限公司","合格"
"106年7-9月","臺北市","未發草蝦仁(冷凍)","老爺大酒店股份有限公司","合格"
"106年7-9月","臺北市","澎湖白蝦仁","大潤發流通事業股份有限公司","合格"
"106年7-9月","臺北市","無毒蝦仁","欣葉餐廳中山分公司","合格"
"106年7-9月","臺北市","割背草蝦仁","臺北國賓大飯店","合格"
"106年7-9月","臺北市","三節翅 調味","家福股份有限公司臺北大直分公司","合格"
"106年7-9月","臺北市","大秋刀魚","家福股份有限公司臺北大直分公司","合格"
"106年7-9月","臺北市","蛤仔","魚金貿易有限公司","合格"
"106年7-9月","臺北市","白肉雞","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","白肉雞","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","仿土公","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","黃金公","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","仿土母","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","仿土母","臺北畜產運銷股份有限公司","合格"
"106年7-9月","雲林縣","土雞公(黑羽)","佳佳便利商店","合格"
"106年7-9月","屏東縣","豬五花肉火鍋肉片","全聯實業股份有限公司恆春西門店","合格"
"106年7-9月","新竹縣","茶香去骨骨腿肉","臺灣楓康超市光明店","合格"
"106年7-9月","雲林縣","吳郭魚","和省錢生鮮超市","合格"
"106年7-9月","雲林縣","臺灣鯛魚片","全聯實業二崙民權分公司","合格"
"106年7-9月","雲林縣","虱目魚","臺灣糖業股份有限公司量販事業部北港量販店","合格"
"106年7-9月","雲林縣","冷凍生白蝦","家福股份有限公司斗六分公司","合格"
"106年7-9月","新竹縣","美國頂級梅花沙朗牛排","臺灣楓康超市光明店","合格"
"106年7-9月","雲林縣","現流香魚","家福股份有限公司斗六分公司","合格"
"106年7-9月","屏東縣","里肌肉排","聖德科斯生機食品-屏東建豐門市","合格"
"106年7-9月","彰化縣","雞蛋","臺灣優質蛋品工業股份有限公司","合格"
"106年7-9月","彰化縣","雞蛋","臺灣優質蛋品工業股份有限公司","合格"
"106年7-9月","彰化縣","雞蛋","臺灣優質蛋品工業股份有限公司","合格"
"106年7-9月","彰化縣","雞蛋","臺灣優質蛋品工業股份有限公司","合格"
"106年7-9月","彰化縣","雞蛋","臺灣優質蛋品工業股份有限公司","合格"
"106年7-9月","彰化縣","鴨蛋","松南蛋行","合格"
"106年7-9月","彰化縣","雞蛋","正聯蛋行","合格"
"106年7-9月","彰化縣","雞蛋","綠生活畜牧場","合格"
"106年7-9月","彰化縣","雞蛋","綠生活畜牧場","合格"
"106年7-9月","彰化縣","雞蛋(白)","全益蛋品","合格"
"106年7-9月","彰化縣","雞蛋(紅)","仁愛蛋品有限公司","合格"
"106年7-9月","彰化縣","雞蛋(紅)","忠翰蛋行","合格"
"106年7-9月","彰化縣","鴨蛋","億州蛋行","合格"
"106年7-9月","彰化縣","鴨蛋","鑫豐蛋行","合格"
"106年7-9月","彰化縣","7-11半雞(胸刺一刀)","鼎芮實業有限公司","合格"
"106年7-9月","彰化縣","原料蛋(生鮮雞蛋)","啟信實業有限公司","合格"
"106年7-9月","彰化縣","1855美國冷藏沙朗","三赫肉品海鮮市集員林店","合格"
"106年7-9月","新竹縣","FUN飼翅小腿6支","頂好超市竹北二店","合格"
"106年7-9月","彰化縣","冷凍軟骨肉","津谷食品股份有限公司埤頭廠","合格"
"106年7-9月","彰化縣","土虱(含內臟)","彰化第一家當歸土虱","合格"
"106年7-9月","彰化縣","鹹蛋黃","寶珍香食品有限公司","合格"
"106年7-9月","彰化縣","紐西蘭羊排-公斤","興業建設股份有限公司員林分公司","合格"
"106年7-9月","彰化縣","鹹蛋黃","大盤大生鮮百貨大賣場和美店","合格"
"106年7-9月","彰化縣","旦仁(鹹蛋黃)","不二家","合格"
"106年7-9月","新竹縣","野生紅目鰱","頂好超市竹北二店","合格"
"106年7-9月","新竹縣","台糖豬肉火鍋肉片","頂好超市竹北二店","合格"
"106年7-9月","臺南市","雞心","禾良宇有限公司","合格"
"106年7-9月","臺南市","雞腱","禾良宇有限公司","合格"
"106年7-9月","臺南市","法式豬排","桂田酒店股份有限公司","合格"
"106年7-9月","臺南市","豬梅花肉塊","全聯實業股份有限公司永康永大分公司","合格"
"106年7-9月","臺南市","龍眼蜜","彩屋百貨商行","合格"
"106年7-9月","臺南市","山水-四季蜂蜜","彩屋百貨商行","合格"
"106年7-9月","臺南市","高山蜂蜜","惠康百貨股份有限公司","合格"
"106年7-9月","臺南市","田園野花蜜","惠康百貨股份有限公司","合格"
"106年7-9月","臺南市","調和蜂巢蜜","欣北生活館有限公司","合格"
"106年7-9月","臺南市","龍眼花蜜","全聯實業股份有限公司臺南縣歸仁分公司","合格"
"106年7-9月","臺南市","臺灣蜂蜜","全聯實業股份有限公司臺南縣歸仁分公司","合格"
"106年7-9月","臺南市","龍眼蜂蜜","全聯實業股份有限公司臺南縣歸仁分公司","合格"
"106年7-9月","臺南市","五花肉(冷藏肉)","大統生鮮超市","合格"
"106年7-9月","臺南市","福樂一番鮮特級鮮乳","全聯實業股份有限公司玉井分公司","合格"
"106年7-9月","臺南市","澳大綠100%澳洲全脂鮮乳","全聯實業股份有限公司玉井分公司","合格"
"106年7-9月","臺南市","Kenken Bread肯啃鮮乳","全聯實業股份有限公司玉井分公司","合格"
"106年7-9月","臺南市","澳大綠100%澳洲全脂鮮乳","三商行股份有限公司臺南安平門市","合格"
"106年7-9月","臺南市","穀飼牛肋條","全聯實業股份有限公司文平分公司","合格"
"106年7-9月","臺南市","美國冷藏牛腱","全聯實業股份有限公司文平分公司","合格"
"106年7-9月","臺南市","豬肉","明芳自助餐","合格"
"106年7-9月","臺南市","豬肉(白切)","千豐小吃店","合格"
"106年7-9月","臺南市","梅花火鍋肉片","俗俗的賣自強店","合格"
"106年7-9月","臺南市","胛心肉","俗俗的賣自強店","合格"
"106年7-9月","臺南市","酵素豬五花肉片","惠康百貨股份有限公司Jasons超市","合格"
"106年7-9月","臺南市","香草豬五花肉","惠康百貨股份有限公司Jasons超市","合格"
"106年7-9月","臺南市","穀飼牛腱","全聯實業股份有限公司官田中山分公司","合格"
"106年7-9月","臺南市","豬五花肉條(帶皮)","全聯實業股份有限公司官田中山分公司","合格"
"106年7-9月","臺南市","台糖安心豚_豬炒肉片","家福股份有限公司臺南仁德分公司","合格"
"106年7-9月","臺南市","胛心肉","新峰商號","合格"
"106年7-9月","臺南市","豬上肉(胛心肉)","順弘商號","合格"
"106年7-9月","臺南市","海藻豬帶皮五花肉條","大目降樂活館","合格"
"106年7-9月","臺南市","海藻豬肉絲","大目降樂活館","合格"
"106年7-9月","臺南市","魷魚","家福股份有限公司新營分公司","合格"
"106年7-9月","臺南市","嚴選鰭鯧(肉鯧)","大目降樂活館","合格"
"106年7-9月","澎湖縣","雞胸肉","盛興行","合格"
"106年7-9月","新北市","鵝肉","永豐鵝廠","合格"
"106年7-9月","新北市","太空鴨切塊","家樂福中和店","合格"
"106年7-9月","新北市","骨腿7","東興肉品有限公司","合格"
"106年7-9月","新北市","全鵝","鼎味軒","合格"
"106年7-9月","新北市","鴨肉","萬香台式烤鴨店","合格"
"106年7-9月","新北市","鵝肉","碧潭橋頭鵝肉專賣店","合格"
"106年7-9月","臺北市","午仔魚","大葉高島屋百貨股份有限公司JASONS超市","Sulfamethoxazole 0.46 ppm(不得檢出)"
"106年7-9月","新北市","生鵝肉","呈信傳統鵝肉店","合格"
"106年7-9月","新北市","五花培根肉片","三重區農會","合格"
"106年7-9月","新北市","牛肉片","東昇便當店","合格"
"106年7-9月","新北市","精選豬絞肉","頂好","合格"
"106年7-9月","新北市","培根牛肉","大醬日式火鍋百匯","合格"
"106年7-9月","新北市","美國牛肉片","極鮮火鍋龍安店","合格"
"106年7-9月","新北市","國產豬肉片","極鮮火鍋龍安店","合格"
"106年7-9月","新北市","豬肝","無市招攤商","合格"
"106年7-9月","新北市","雞胸肉","江醫師追求零污染鋪子","合格"
"106年7-9月","新北市","生白蝦","貴族世家牛排","合格"
"106年7-9月","新北市","冷藏美國牛條","家樂福中和店","合格"
"106年7-9月","新北市","冷藏豬梅花火鍋片","家樂福中和店","合格"
"106年7-9月","新北市","文蛤","全聯新莊建國店","合格"
"106年7-9月","新北市","牛肉","大龍","合格"
"106年7-9月","新北市","頂級挪威鯖魚片","江醫師追求零污染鋪子","合格"
"106年7-9月","嘉義市","前腿肉捲","嘉義力大口肉批發","合格"
"106年7-9月","嘉義市","豬肉片","阿官火鍋專家","合格"
"106年7-9月","嘉義市","立大食品豬五花火鍋肉片","全聯竹圍門市","合格"
"106年7-9月","嘉義市","後腿豬肉","新鮮家企業社","合格"
"106年7-9月","嘉義市","臺灣豬肉火鍋肉片","全聯竹圍門市","合格"
"106年7-9月","新北市","東石鮮採文蛤(大)","大美","合格"
"106年7-9月","新北市","豬肉","太平市場12號攤","合格"
"106年7-9月","新北市","透抽","小星球家庭餐廳","合格"
"106年7-9月","新北市","蛤蜊","小星球家庭餐廳","合格"
"106年7-9月","新北市","牛板腱","王品餐飲股份有限公司西堤臺北三峽分公司","合格"
"106年7-9月","新北市","棒腿(臺灣解凍肉)","臻信福生活賣場","合格"
"106年7-9月","新北市","冷凍生白蝦","錢都日式涮涮鍋","合格"
"106年7-9月","新北市","雞肉","錢都日式涮涮鍋","合格"
"106年7-9月","新北市","醃漬豬排(水)","碧潭水灣餐廳","合格"
"106年7-9月","新北市","冷藏澳洲穀飼牛肋條","全聯蘆洲中原店","合格"
"106年7-9月","臺南市","冷凍草蝦仁","立楊水產有限公司","合格"
"106年7-9月","臺南市","雞蛋","大毅蛋品有限公司","合格"
"106年7-9月","澎湖縣","後腿肉絲","澎湖縣農會農民購物中心","合格"
"106年7-9月","新北市","白蝦80/100","家樂福蘆洲分公司","合格"
"106年7-9月","新北市","澳洲冷凍肩胛烤肉片(牛肩胛部)","家樂福蘆洲分公司","合格"
"106年7-9月","新北市","石斑魚","無市招魚攤商","合格"
"106年7-9月","新北市","殼蛋","吳記蛋品有限公司","合格"
"106年7-9月","新北市","殼蛋","興昭宏蛋品有限公司","合格"
"106年7-9月","新北市","豬肉","永達食品冷凍實業股份有限公司","合格"
"106年7-9月","嘉義市","梅花肉(豬肉)","二階堂日式無煙炭火燒肉","合格"
"106年7-9月","嘉義市","豬小里肌","二階堂日式無煙炭火燒肉","合格"
"106年7-9月","嘉義市","梅花肉(豬肉)","色鼎燒肉餐飲店","合格"
"106年7-9月","嘉義市","胸腹肉(牛肉)","色鼎燒肉餐飲店","合格"
"106年7-9月","嘉義市","梅花豬","野赤燒肉","合格"
"106年7-9月","嘉義市","無骨雞腿肉","野赤燒肉","合格"
"106年7-9月","嘉義市","牛肉(板腱)","雄野燒肉食堂","合格"
"106年7-9月","嘉義市","梅花豬","雄野燒肉食堂","合格"
"106年7-9月","嘉義市","豬里肌烤肉片","家樂福嘉義店","合格"
"106年7-9月","嘉義市","豬梅花烤肉片","家樂福嘉義店","合格"
"106年7-9月","臺南市","鴨蛋","松高蛋品企業社","合格"
"106年7-9月","臺南市","雞蛋","永好蛋行","合格"
"106年7-9月","臺中市","美國肉雞骨腿肉解凍肉","喜美超市","合格"
"106年7-9月","臺中市","放山雞切塊解凍肉","喜美超市","合格"
"106年7-9月","臺中市","肉雞小雞腿解凍肉","喜美超市","合格"
"106年7-9月","臺中市","國產雞棒棒腿","臺灣楓康超市股份有限公司后里分公司","合格"
"106年7-9月","臺中市","去骨雞肉","仲信量販超市","合格"
"106年7-9月","臺中市","土雞里肌肉","全聯實業股份有限公司大雅民生分公司","合格"
"106年7-9月","臺中市","雞胸肉去皮","全聯實業股份有限公司大雅民生分公司","合格"
"106年7-9月","臺中市","肉雞切塊","頂好超市大雅店","合格"
"106年7-9月","臺中市","雞肉","蔡○月攤","合格"
"106年7-9月","臺中市","鴨肉","楊○炳攤","合格"
"106年7-9月","臺中市","棒棒腿","百喬生鮮超市","合格"
"106年7-9月","臺中市","土雞","勤農畜產","合格"
"106年7-9月","臺中市","仿土雞","足放山雞","合格"
"106年7-9月","臺中市","仿土雞","祥園雞鴨行","合格"
"106年7-9月","臺中市","里肌肉(三連包)","遠百企業股份有限公司臺中復興分公司","合格"
"106年7-9月","臺中市","國產土番鴨(去頭腳翅)","遠百企業股份有限公司臺中復興分公司","合格"
"106年7-9月","臺中市","黑金鑽土鷄","遠百企業股份有限公司臺中復興分公司","合格"
"106年7-9月","臺中市","黃金土鷄","遠百企業股份有限公司臺中復興分公司","合格"
"106年7-9月","臺中市","雞肉","三牲五牲雞鴨攤","合格"
"106年7-9月","臺中市","雞肉","宛臻雞鴨攤","合格"
"106年7-9月","臺中市","雞肉","雞肉施","合格"
"106年7-9月","臺中市","雞肉","正大鮮雞","合格"
"106年7-9月","臺中市","台糖豬肉五花火鍋肉片","喜美超市豐洲店","合格"
"106年7-9月","臺中市","牛肉片","喜美超市豐洲店","合格"
"106年7-9月","臺中市","豬肉片","喜美超市豐洲店","合格"
"106年7-9月","臺中市","澳洲安格斯牛腱","裕毛屋企業(股)公司","合格"
"106年7-9月","臺中市","豬肉","謝○蓮攤","合格"
"106年7-9月","臺中市","豬五花燒烤片","家樂福中清店","合格"
"106年7-9月","臺中市","美國牛無骨肩小排燒肉片","家樂福中清店","合格"
"106年7-9月","臺中市","家福嚴選-腰內肉","家樂福中清店","合格"
"106年7-9月","臺中市","美國冷藏牛腱","臺灣楓康超市股份有限公司","合格"
"106年7-9月","臺中市","活菌株梅花肉排","臺灣楓康超市股份有限公司","合格"
"106年7-9月","臺中市","豬小里肌(腰內肉)","臺灣楓康超市股份有限公司","合格"
"106年7-9月","臺中市","豬肉","華勳肉鋪","合格"
"106年7-9月","臺中市","原味牛肉片","鮮美企業有限公司","合格"
"106年7-9月","臺中市","豬梅花火鍋肉片","鮮美企業有限公司","合格"
"106年7-9月","臺中市","梅花肉片","鮮美企業有限公司","合格"
"106年7-9月","臺中市","美國菲力牛排","好市多股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","臺灣豬腹協排長方切","好市多股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","臺灣梅花里肌豬排","好市多股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","豬肉","林○亮攤","合格"
"106年7-9月","臺中市","雞骨腿切塊(臺灣)解凍肉","喜美超市豐洲店","合格"
"106年7-9月","臺中市","美國肉雞骨腿肉解凍肉","喜美超市豐洲店","合格"
"106年7-9月","臺中市","雞肉","王○雄攤","合格"
"106年7-9月","臺中市","雞腿排切塊","大雅學府分公司","合格"
"106年7-9月","臺中市","去骨清腿","家樂福中清店","合格"
"106年7-9月","臺中市","土雞剁塊","臺灣楓康超市股份有限公司","合格"
"106年7-9月","臺中市","國產肉雞無皮胸肉包裝","臺灣楓康超市股份有限公司","合格"
"106年7-9月","臺中市","雞胸肉","黃○鈴雞肉攤","合格"
"106年7-9月","臺中市","骨腿","鮮美企業有限公司","合格"
"106年7-9月","臺中市","雞胸肉","鮮美企業有限公司","合格"
"106年7-9月","臺中市","雞清胸肉","好市多股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","去骨清雞腿(去腳踝)","好市多股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","雞肉","紀古早雞","合格"
"106年7-9月","臺中市","吳郭魚","臺灣家樂福股份有限公司豐原分公司","合格"
"106年7-9月","臺中市","吳郭魚","愛買豐原店","合格"
"106年7-9月","臺中市","秋刀魚","愛買豐原店","合格"
"106年7-9月","臺中市","薄鹽鯖魚","漁夫市集","合格"
"106年7-9月","臺中市","秋刀魚","全聯實業股份有限公司大甲民生分公司","合格"
"106年7-9月","臺中市","鑫龍柳葉魚","全聯實業股份有限公司大甲營業所","合格"
"106年7-9月","臺中市","生柳葉魚","海洋先生","合格"
"106年7-9月","臺中市","秋刀魚","海洋先生","合格"
"106年7-9月","臺中市","秋刀魚","蘇○明攤","合格"
"106年7-9月","臺中市","吳郭魚","明珠海鮮","合格"
"106年7-9月","臺中市","秋刀魚1號","吉祥海鮮批發商行","合格"
"106年7-9月","臺中市","吳郭魚","大潤發流通事業股份有限公司臺中分公司","合格"
