藥商別,藥商名稱,藥商地址,GDP作業內容
"販賣業","台灣萌蒂藥品有限公司","台北市信義區松仁路32號14樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","博士倫股份有限公司","台北市大安區市民大道4段102號11樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","瑞士商艾伯維藥品有限公司台灣分公司","台北市中山區民生東路3段49號及51號15樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","華琳實業有限公司","基隆市安樂區樂利3街309號1樓","採購、儲存、供應、運輸"
"製造業","裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","儲存、運輸(均含冷鏈藥品)"
"製造業","健喬信元醫藥生技股份有限公司健喬廠","新竹縣湖口鄉中興村工業一路6號","儲存"
"販賣業","曼哈頓企業有限公司","高雄市三民區正興路11號17樓之3","採購、供應、輸入"
"販賣業","裕利股份有限公司","台北市松山區南京東路4段126號10樓、10樓之1至之3","採購、供應、輸入(均含冷鏈藥品)"
"製造業","長安化學工業股份有限公司","彰化縣福興鄉萬豊村福工路19號、19-1號","儲存、供應"
"販賣業","柏理貿易股份有限公司","台北市中山區松江路65號4樓","採購、供應、輸入"
"販賣業","台田藥品股份有限公司","台北市南港區市民大道7段8號14樓之1","採購、輸入、供應(均含冷鏈藥品)"
"販賣業","惠貿有限公司","台北市萬華區中華路1段202號7樓之2","採購、儲存、供應、運輸(均含冷鏈藥品)"
"製造業","衛達化學製藥股份有限公司","台中市南屯區寶山里工業區23路21號","儲存、供應"
"製造業","寶齡富錦生技股份有限公司平鎮廠","桃園市平鎮區興隆路266號","儲存、運輸"
"製造業","永信藥品工業股份有限公司台中幼獅廠","台中市大甲區日南里工九路27號、工七路9號","儲存"
"販賣業","友華生技醫藥股份有限公司","台北市復興南路1段368號7樓","採購、供應、輸出、輸入(均含冷鏈藥品)"
"販賣業","台灣愛力根藥品股份有限公司","台北市中正區羅斯福路2段102號9樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","興南實業股份有限公司","台北市內湖區大湖街131巷2弄6號","採購、供應"
"販賣業","永信藥品工業股份有限公司","台中市大甲區中山路1段1191號","採購、供應、輸出"
"販賣業","健喬信元醫藥生技股份有限公司","新竹縣湖口鄉光復北路21巷4號","採購、供應、輸入、輸出(均含冷鏈藥品)"
"販賣業","壯生醫療器材股份有限公司","台北市大安區敦化南路2段319號6樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣中外製藥股份有限公司","台北市松山區敦化北路260號3樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","井田國際醫藥廠股份有限公司","台中市大甲區日南里幼獅路32號","儲存、供應"
"製造業","國光生物科技股份有限公司","台中市潭子區聚興里潭興路1段3號","儲存、供應、輸出、運輸(均含冷鏈藥品)"
"製造業","東旭工業股份有限公司","花蓮縣吉安鄉慶豐村北安街161巷10號","儲存、運輸"
"製造業","杏林新生製藥股份有限公司","桃園市龍潭區三和里店湖1路237號","儲存、供應、輸出(均含冷鏈藥品)"
"販賣業","國光生物科技股份有限公司","台中市潭子區潭興路1段3號","採購、儲存、供應、輸入、運輸(均含冷鏈藥品)"
"製造業","張國周製藥股份有限公司中壢製藥廠","桃園市中壢區中壢工業區定寧路9號","儲存"
"販賣業","台灣費森尤斯卡比股份有限公司","台北市大安區仁愛路3段30號5樓、32號5樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","友霖生技醫藥股份有限公司","雲林縣虎尾鎮墾地里科虎一路8號","儲存、供應、輸出、運輸"
"製造業","羅得化學製藥股份有限公司","臺中市大甲區頂店里東西七路一段65號","儲存、供應"
"製造業","元宙化學製藥股份有限公司","南投市永豐里南崗3路272號","儲存、供應、輸出"
"製造業","士宣生技股份有限公司","新北市新莊區後港1路141號1樓及143號1、2樓","供應、運輸"
"販賣業","士宣生技股份有限公司","新北市新莊區後港1路141號2樓","採購、供應、輸入、運輸"
"販賣業","衛生福利部食品藥物管理署管制藥品製藥工廠","台北市南港區忠孝東路6段467號地下1層","採購、儲存、供應、輸入、運輸"
"販賣業","瑪科隆股份有限公司","台中市西區忠明南路303號18樓之3","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","華樺生技藥品股份有限公司","彰化縣田尾鄉饒平村中山路1段94之2號2樓","供應"
"販賣業","荷商葛蘭素史克藥廠股份有限公司台灣分公司","台北市中正區忠孝西路1段66號23、24樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣安進藥品有限公司","台北市松山區民生東路3段133號5樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","益邦製藥股份有限公司","苗栗縣竹南鎮科東3路1號","儲存、供應、輸出"
"販賣業","美商默沙東藥廠股份有限公司台灣分公司","台北市信義區信義路5段106號12樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","人人化學製藥股份有限公司中壢廠","桃園市中壢區南園2路3號","儲存"
"販賣業","治痛單股份有限公司","台中市南區美村路2段218巷30號","採購、供應"
"販賣業","和安行股份有限公司","台北市中山區復興北路164號6樓","採購、儲存、供應"
"販賣業","人人化學製藥股份有限公司","桃園市中壢區南園2路3號","採購、供應"
"販賣業","台灣日化股份有限公司","台北市中正區忠孝東路2段88號9樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","安成國際藥業股份有限公司中壢廠","桃園市中壢區復興里自強4路3之1號","儲存"
"製造業","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","儲存"
"販賣業","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","採購、儲存、供應、輸入"
"販賣業","雙正貿易股份有限公司","台北市信義區忠孝東路5段508號6樓之3","採購、供應、輸入"
"販賣業","台灣柏朗股份有限公司","台北市松山區健康路152號9樓","採購、供應、輸入"
"製造業","台灣美強股份有限公司","新北市深坑區北深路3段155巷5號","儲存"
"販賣業","百特醫療產品股份有限公司","台北市大安區敦化南路2段216號15樓","採購、供應、輸入(均含冷鏈藥品)"
"製造業","聯華氣體工業股份有限公司高雄工廠","高雄市大社區保社里旗楠路62號","儲存、供應、運輸(均為醫用氣體)"
"販賣業","臺灣新吉美碩股份有限公司","台北市大安區復興南路1段237號11樓","採購、輸入、供應、輸出、運輸(均含冷鏈藥品)"
"販賣業","寶齡富錦生技股份有限公司","台北市南港區園區街3號16樓","採購、供應、輸入、輸出"
"販賣業","生達化學製藥股份有限公司","台南市新營區土庫里土庫6之20號","採購、供應、輸入、輸出"
"製造業","生達化學製藥股份有限公司","台南市新營區土庫里土庫6之20號","儲存"
"製造業","生達化學製藥股份有限公司二廠","台南市新營區開元路154號","儲存"
"販賣業","裕心企業有限公司","高雄市苓雅區青年1路1之3號","採購、供應、輸入"
"販賣業","奇異亞洲醫療設備股份有限公司","台北市中山區民生東路3段8號6樓","採購、供應、輸入"
"販賣業","科華生技醫藥股份有限公司","台北市內湖區民權東路6段180巷6號8樓之11","採購、供應"
"製造業","新萬仁化學製藥股份有限公司","台中市豐原區西湳里文賢街158號","儲存、運輸"
"販賣業","安成國際藥業股份有限公司","台北市內湖區港墘路221巷41號4樓","供應、輸出"
"製造業","恒安製藥工業股份有限公司","台中市西屯區協和里工業區1路101號","儲存、供應、運輸"
"販賣業","天行貿易股份有限公司","台北市中山區長安東路1段21號2樓","採購、儲存、供應、輸入、運輸(均含冷鏈藥品)"
"販賣業","輝凌藥品股份有限公司","台北市中山區松江路111號11樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","新萬仁化學製藥股份有限公司","台中市豐原區文賢街158號","採購、儲存、供應、輸入"
"製造業","新竹物流股份有限公司","新竹縣新豐鄉松柏村德昌街228號","儲存、運輸"
"販賣業","文德藥業有限公司","台北市松山區八德路三段212號10樓","採購、儲存、供應、輸入、運輸"
"販賣業","台灣小野藥品工業股份有限公司","台北市信義區松高路1號7樓之3","採購、供應、輸入(均含冷鏈藥品)"
"製造業","優生製藥廠股份有限公司","台中市南屯區工業區21路14號","儲存、供應、輸出"
"販賣業","嬌生股份有限公司","台北市大安區敦化南路二段319號4、5樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣海默尼藥業有限公司","台北市信義區光復南路495號(927室)","供應"
"販賣業","興中美生技有限公司","台北市內湖區基湖路35巷6號5樓","採購、供應"
"販賣業","德惠藥品有限公司","高雄市苓雅區武廟路107號12樓之1","採購、儲存、供應、輸入"
"販賣業","三友生技醫藥股份有限公司","台南市後壁區福安里下寮路207之3號","採購、儲存、供應"
"販賣業","新加坡商施維雅股份有限公司台灣分公司","台北市中山區松江路168號3樓","採購、供應、輸入"
"販賣業","樂健藥品實業有限公司","高雄市左營區榮成三街53號8樓之1","供應(含冷鏈藥品)"
"製造業","華健醫藥生技股份有限公司湖口廠","新竹縣湖口鄉鳳山村工業五路3號","儲存、供應、輸出"
"販賣業","達德士藥品有限公司","台北市北投區承德路七段348號9號","供應"
"販賣業","佳醫健康事業股份有限公司","新北市中和區中正路880號17樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","台灣第一三共股份有限公司","台北市中山區八德路二段308號7樓之1","採購、供應、輸入"
"販賣業","豐田藥品股份有限公司","新北市三重區五華街7巷87號","供應"
"販賣業","台灣美強股份有限公司","台北市中山區南京東路二段66號4樓","採購、供應、輸入"
"販賣業","台灣百靈佳殷格翰股份有限公司","台北市中山區民生東路三段49、51號12樓","供應、輸入(均含冷鏈藥品)"
"販賣業","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","新北市淡水區中正東路二段177號","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","輝瑞生技股份有限公司","新北市淡水區中正東路二段177號","採購、供應、輸入、輸出"
"販賣業","輝瑞大藥廠股份有限公司","新北市淡水區中正東路二段177號","採購、供應、輸入、輸出(均含冷鏈藥品)"
"販賣業","新加坡商赫士睿股份有限公司台灣分公司","新北市淡水區中正東路二段177號","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","翰可國際股份有限公司","台北市內湖區瑞光路258巷2號6樓之2","採購、供應、輸出"
"販賣業","大昭製藥生物科技股份有限公司","台南市官田區建業路7號","採購、供應"
"販賣業","賢德藥品有限公司","台南市新營區嘉芳里茄苳腳60之1號","採購、供應"
"販賣業","東樺藥品有限公司","高雄市三民區九如二路150號11樓","採購、供應"
"製造業","久松化學企業股份有限公司","彰化縣秀水鄉彰水路一段340號","儲存、供應"
"販賣業","鼎泰藥品股份有限公司","高雄市左營區大順一路91號12樓之5","採購、儲存、供應"
"販賣業","鼎豐宇藥品生技股份有限公司","高雄市左營區大順一路91號12樓之5","採購、儲存、供應"
"製造業","明大化學製藥股份有限公司","台中市外埔區水美里水美路52號","儲存、供應、輸出"
"販賣業","中天生物科技股份有限公司","台北市南港區園區街3號14樓之1","供應"
"販賣業","耀儀貿易有限公司","台北市中山區復興北路290號3樓之1","採購、儲存、供應、輸入"
"販賣業","禾利行股份有限公司","台北市松山區敦化北路311號3樓","採購、儲存、供應、輸入、運輸(均含冷鏈藥品)"
"販賣業","華宇藥品股份有限公司","台北市中山區中山北路二段115巷43號8樓","採購、儲存、供應"
"販賣業","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路23號","儲存、供應、輸出"
"販賣業","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路237號","採購、儲存、供應、輸入"
"販賣業","育新企業股份有限公司","桃園市龜山區大湖里文三一街37號","採購、供應"
"販賣業","鵬瑋國際有限公司","台北市松山區南京東路四段95號9樓之1","採購、供應、輸入"
"販賣業","香港商香港利潔時有限公司台灣分公司","台北市大安區仁愛路三段136號6樓","採購、供應、輸入"
"製造業","源吉氣體有限公司","台中市大里區健民里仁化工三路230號","儲存、供應(均為醫用氣體)"
"製造業","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮4之6號","儲存、供應"
"製造業","福元化學製藥股份有限公司","新北市瑞芳區大寮路95之1號","儲存、供應、輸出"
"販賣業","安沛國際有限公司","台北市大安區敦化南路二段207號20樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","好來化工股份有限公司","台北市松山區敦化南路一段2號9樓","採購、供應、輸入"
"販賣業","三正貿易有限公司","台北市萬華區洛陽街9號9樓之9","供應"
"販賣業","南河貿易股份有限公司","台北市中山區民權西路27號5樓之1","採購、供應、輸入"
"販賣業","德聯藥品有限公司","台北市大安區忠孝東路四段52號5樓","採購、供應"
"製造業","遠東氣體工業股份有限公司永安工廠","高雄市永安區新港里新興路1-21號","供應(均為醫用氣體)"
"製造業","聯亞科技股份有限公司三廠","新竹市東區科學工業園區力行四路3號","供應(均為醫用氣體)"
"製造業","大裕生技製藥股份有限公司","台中市梧棲區草湳里中港加工出口區經一路49號","儲存"
"販賣業","台灣大塚製藥股份有限公司","台北市中山區復興北路378號11樓","採購、供應、輸入、輸出(均含冷鏈藥品)"
"販賣業","安強藥業股份有限公司","台北市松山區復興北路311號4樓","採購、儲存、供應、輸入"
"販賣業","十安藥品股份有限公司","南投縣南投市新興里仁和路42號","採購、供應"
"販賣業","溫莎藥品股份有限公司","台北市信義區松仁路3號7樓","採購、供應、輸入"
"販賣業","太景生物科技股份有限公司","台北市內湖區新明路138號7樓","供應"
"販賣業","吉帝藥品股份有限公司","台中市北屯區綏遠路二段216之5號6樓及216號地下一層","採購、儲存、供應、輸入、輸出、運輸(均含冷鏈藥品)"
"販賣業","賽諾菲股份有限公司","台北市信義區松仁路3號7樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","永好健康事業有限公司","基隆市中正區義一路61號5樓","供應"
"製造業","美西製藥有限公司","高雄市仁武區仁武里工業一路9號","儲存、供應"
"製造業","明通化學製藥股份有限公司第二廠","台中市南屯區寶山里工業區21路15號","儲存、供應、輸出"
"販賣業","吉泰藥品股份有限公司","台北市大安區敦化南路二段128號15樓之3、15樓之6","採購、儲存、供應、輸入"
"製造業","中國化學製藥股份有限公司台南三廠","台南巿官田區二鎮里工業西路46號之8","儲存、供應"
"販賣業","大法貿易股份有限公司","台北市大安區忠孝東路四段107號8樓之1","採購、儲存、供應、輸入"
"販賣業","台灣明尼蘇達礦業製造股份有限公司","台北市大安區敦化南路二段95號6至11、15及16樓。","採購、供應、輸入"
"製造業","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","儲存、供應"
"販賣業","英商葛蘭素史克消費保健用品股份有限公司台灣分公司","台北市中正區忠孝西路一段66號24樓","採購、供應、輸入"
"販賣業","健得方醫藥生技股份有限公司","南投縣南投市福興里彰南路三段1044號","採購、供應"
"販賣業","台灣拜耳股份有限公司","台北市信義區信義路五段7號台北101大樓之53至54樓","採購、供應、輸入"
"製造業","台灣大塚製藥股份有限公司中壢工廠","桃園市中壢區永福里吉林路15號","儲存(含冷鏈藥品)"
"販賣業","鴻汶醫藥實業有限公司","台中市西屯區文心路三段236號3樓、238號3樓","採購、儲存、供應、輸入(均含冷鏈藥品)"
"製造業","中美兄弟製藥股份有限公司","彰化縣彰化市東芳里彰鹿路106號","儲存、供應"
"販賣業","國品藥品實業有限公司","高雄市三民區民族一路878號7樓之1","採購、供應"
"販賣業","護民企業股份有限公司","高雄市三民區民族一路878號7樓之1","採購、供應"
"販賣業","康衛藥業股份有限公司","台北市中正區漢口街一段110號8樓之13","採購、供應"
"販賣業","松林藥品有限公司","高雄市前鎮區二聖二路5號","供應"
"販賣業","法德生技藥品股份有限公司","新北市中和區連城路236號5樓之1","供應"
"販賣業","天理生物科技有限公司","台中市外埔區水美里水美路147號","供應"
"製造業","南光化學製藥股份有限公司","台南市新化區全興里中山路1001號、1001之1號","儲存、供應、輸出(均含冷鏈藥品)"
"製造業","聯華氣體工業股份有限公司中港分公司","臺中市梧棲區中港加工出口區大成南路1號","儲存、供應(均為醫用氣體)"
"販賣業","濟時藥品股份有限公司","台南市中西區民權路二段158號4樓","供應、輸出"
"販賣業","佐藤製藥股份有限公司","台北市信義區基隆路一段333號4樓","採購、供應、輸入"
"販賣業","順仁西藥行","新北市中和區中山路二段312巷12號1樓","採購、儲存、供應、輸入、運輸"
"販賣業","惠勝藥品股份有限公司","嘉義市東區公園街159號8樓2","採購、供應"
"販賣業","東生華製藥股份有限公司","台北市南港區園區街3之1號3樓之1","採購、供應、輸出、輸入"
"販賣業","勸奉堂製藥股份有限公司","台北市士林區社子街112巷6號","供應"
"販賣業","台灣武田藥品工業股份有限公司","台北市信義區松高路1號17樓","採購、供應、輸入(均含冷鏈藥品)"
"販賣業","歐業藥品股份有限公司","高雄市鳥松區松埔路11-10號","採購、儲存、供應"
"販賣業","愛可泰隆醫藥技術有限公司","台北市松山區慶城街28號7樓","採購、供應、輸入"
"販賣業","培力國際醫藥股份有限公司","台中市西屯區工業區六路13號1樓","供應"
"販賣業","元聖企業股份有限公司","台北市中山區民權西路27號5樓之1","採購、供應、輸入"
"販賣業","豐樂國際有限公司","台北市中山區林森北路627號3樓之1","採購、供應、輸入"
"販賣業","晟德大藥廠股份有限公司","台北市南港區園區街3之2號7樓","採購、供應、輸出、運輸"
"販賣業","大裕生技興業有限公司","台中市西屯區府會園道179號19樓","供應"
"製造業","晟德大藥廠股份有限公司新竹廠","新竹縣湖口鄉實踐路2號","儲存"
"販賣業","嘉豪生技有限公司","台北市內湖區基湖路35巷51號7樓","採購、供應、輸入"
