年度,產品中分類,查驗批數,檢驗批數,檢驗批數比例,不符合批數,不符合批數比例
"100","FD04-糖果、巧克力","23324","979","4.2","3","0.30%"
"100","FD06-麵製品","8336","298","3.6","1","0.30%"
"100","FD07-其他穀類製品","7374","243","3.3","3","1.20%"
"100","FD08-餅乾","33215","3569","10.7","1","0.03%"
"100","FD10-調製蔬果","20624","1009","4.9","6","0.60%"
"100","FD11-糖漬蔬果","1381","45","3.3","2","4.40%"
"100","FD12-蔬果汁","3244","285","8.8","1","0.40%"
"100","FD13-酵母","629","285","8.8","4","5.80%"
"100","FD14-調味醬","25990","1075","4.1","14","1.30%"
"100","FD16-飲料","7180","1043","14.5","2","0.20%"
"100","FD20-病人用及特殊營養食品","9160","253","2.8","4","1.60%"
"100","FD99-其他調製食品","26299","1234","4.7","9","0.70%"
"100","FE01-食品器具","32741","639","2.0","1","0.20%"
"101","FA01-生鮮冷藏冷凍牛肉","8444","1476","17.50%","18","1.20%"
"101","FA02-生鮮冷藏冷凍牛雜碎","2399","518","21.60%","0","0.00%"
"101","FA03-牛肉罐頭","295","19","6.40%","0","0.00%"
"101","FA09-其他已調製牛肉製品","18","2","11.10%","0","0.00%"
"101","FA11-生鮮冷藏冷凍豬肉","1609","72","4.50%","2","2.70%"
"101","FA12-生鮮冷藏冷凍豬肉雜碎","1509","71","4.70%","9","12.70%"
"101","FA13-豬肉罐頭","293","15","5.10%","0","0.00%"
"101","FA19-其他已調製豬肉製品","694","37","5.30%","4","10.80%"
"101","FA21-生鮮冷藏冷凍家禽肉","3901","188","4.80%","0","0.00%"
"101","FA22-生鮮冷藏冷凍家禽雜碎","122","7","5.70%","0","0.00%"
"101","FA23-家禽罐頭","64","2","3.10%","0","0.00%"
"101","FA29-其他已調製家禽肉製品","94","3","3.20%","0","0.00%"
"101","FA91-其他生鮮冷藏冷凍肉品","1468","61","4.20%","0","0.00%"
"101","FA92-其他生鮮冷藏冷凍肉品雜碎","163","14","8.60%","0","0.00%"
"101","FA93-其他肉品罐頭","14","0","0.00%","0","0.00%"
"101","FA94-蛋製品","90","4","4.40%","0","0.00%"
"101","FA95-蜂產品","490","19","3.90%","0","0.00%"
"101","FA99-其他已調製肉製品","791","94","11.90%","5","5.30%"
"101","FB01-活生鮮冷藏魚產品","17385","2189","12.60%","10","0.50%"
"101","FB02-冷凍魚產品","11592","935","8.10%","8","0.90%"
"101","FB03-魚罐頭","1429","119","8.30%","0","0.00%"
"101","FB09-其他已調製魚產品","6234","801","12.60%","1","0.10%"
"101","FB11-活生鮮冷藏甲殼類產品","12678","1016","8.00%","56","5.50%"
"101","FB12-冷凍甲殼類產品","4828","448","9.30%","11","2.50%"
"101","FB13-甲殼類罐頭","41","3","7.30%","0","0.00%"
"101","FB19-其他已調製甲殼類製品","1198","77","6.40%","0","0.00%"
"101","FB91-其他活生鮮冷藏水產品","7381","1144","15.50%","19","1.70%"
"101","FB92-其他冷凍水產品","5063","479","9.50%","3","0.60%"
"101","FB93-其他水產品罐頭","433","21","4.90%","0","0.00%"
"101","FB99-其他已調製水產品","2107","225","10.70%","1","0.40%"
"101","FC11-生鮮冷藏冷凍蔬菜","22244","2090","9.40%","49","2.30%"
"101","FC12-暫時保藏蔬菜","112","6","5.40%","0","0.00%"
"101","FC13-乾蔬菜","2277","126","5.50%","5","4.00%"
"101","FC21-生鮮冷藏冷凍水果","22354","3001","13.40%","39","1.30%"
"101","FC22-暫時保藏水果","4","0","0.00%","0","0.00%"
"101","FC23-乾水果","3639","211","5.80%","0","0.00%"
"101","FC31-咖啡類","11605","606","5.20%","1","0.20%"
"101","FC32-茶類","6885","1509","21.90%","12","0.80%"
"101","FC33-藥食兩用","1988","581","29.20%","55","9.50%"
"101","FC34-香辛料","2218","204","9.20%","41","20.10%"
"101","FC35-米","745","742","99.60%","10","1.60%"
"101","FC36-米製品","203","16","7.90%","0","0.00%"
"101","FC37-穀物雜糧","5445","251","4.60%","1","0.40%"
"101","FC38-穀物雜糧製品","5979","246","4.10%","1","0.40%"
"101","FC39-花生製品","1398","120","8.60%","4","3.30%"
"101","FC40-乾果實","1759","87","5.00%","6","6.90%"
"101","FC41-海草類及其他植物類","2421","563","23.30%","0","0.00%"
"101","FC42-植物膠","3241","123","3.80%","0","0.00%"
"101","FD01-乳製品","20587","1681","8.20%","7","0.40%"
"101","FD02-食用油脂","5452","188","3.5%","3","1.60%"
"101","FD03-糖蜜","2969","101","3.4%","0","0.00%"
"101","FD04-糖果、巧克力","23917","1728","7.2%","1","0.10%"
"101","FD05-穀類調製品","5599","296","5.3%","0","0.00%"
"101","FD06-麵製品","9662","517","5.4%","0","0.00%"
"101","FD07-其他穀類製品","8230","456","5.5%","1","0.20%"
"101","FD08-餅乾","35609","3307","9.3%","13","0.40%"
"101","FD09-蔬果罐頭","3895","195","5.0%","1","0.50%"
"101","FD10-調製蔬果","22648","1140","5.0%","17","1.50%"
"101","FD11-糖漬蔬果","1324","123","9.3%","3","2.40%"
"101","FD12-蔬果汁","2840","188","6.6%","2","1.10%"
"101","FD13-酵母","639","66","10.3%","4","6.10%"
"101","FD14-調味醬","26991","1590","5.9%","20","1.30%"
"101","FD15-水及冰","2053","599","29.2%","1","0.20%"
"101","FD16-飲料","7833","699","8.9%","3","0.40%"
"101","FD17-蛋白產品","1659","171","10.3%","0","0.00%"
"101","FD18-鹽","1193","58","4.9%","0","0.00%"
"101","FD19-嬰幼兒食品","3282","1531","46.7%","0","0.00%"
"101","FD20-病人用及特殊營養食品","8846","440","5.0%","0","0.00%"
"101","FD21-殘渣物","101","4","4.0%","0","0.00%"
"101","FD22-明膠及改質澱粉產品","2597","150","5.8%","1","0.70%"
"101","FD99-其他調製食品","25917","1621","6.3%","17","1.10%"
"101","FE01-食品器具","50478","1403","2.8%","2","0.10%"
"101","總計","461665","38793","8.4%","467","1.20%"
"102","FA01-生鮮冷藏冷凍牛肉","10613","2448","23.07%","6","0.25%"
"102","FA02-生鮮冷藏冷凍牛雜碎","2312","361","15.61%","0","0.00%"
"102","FA03-牛肉罐頭","360","10","2.78%","0","0.00%"
"102","FA09-其他已調製牛肉製品","15","0","0.00%","0","0.00%"
"102","FA11-生鮮冷藏冷凍豬肉","1662","88","5.29%","2","2.27%"
"102","FA12-生鮮冷藏冷凍豬肉雜碎","1211","55","4.54%","1","1.82%"
"102","FA13-豬肉罐頭","385","16","4.16%","1","6.25%"
"102","FA19-其他已調製豬肉製品","638","18","2.82%","0","0.00%"
"102","FA21-生鮮冷藏冷凍家禽肉","3660","129","3.52%","1","0.78%"
"102","FA22-生鮮冷藏冷凍家禽雜碎","112","1","0.89%","0","0.00%"
"102","FA23-家禽罐頭","82","5","6.10%","0","0.00%"
"102","FA29-其他已調製家禽肉製品","120","6","5.00%","0","0.00%"
"102","FA91-其他生鮮冷藏冷凍肉品","1513","45","2.97%","0","0.00%"
"102","FA92-其他生鮮冷藏冷凍肉品雜碎","251","9","3.59%","0","0.00%"
"102","FA93-其他肉品罐頭","30","1","3.33%","0","0.00%"
"102","FA94-蛋製品","90","3","3.33%","0","0.00%"
"102","FA95-蜂產品","625","16","2.56%","0","0.00%"
"102","FA99-其他已調製肉製品","837","44","5.26%","0","0.00%"
"102","FB01-活生鮮冷藏魚產品","16893","2591","15.34%","1","0.04%"
"102","FB02-冷凍魚產品","9449","1065","11.27%","3","0.28%"
"102","FB03-魚罐頭","1531","47","3.07%","0","0.00%"
"102","FB09-其他已調製魚產品","6753","286","4.24%","1","0.35%"
"102","FB11-活生鮮冷藏甲殼類產品","14195","1010","7.12%","36","3.56%"
"102","FB12-冷凍甲殼類產品","5009","386","7.71%","7","1.81%"
"102","FB13-甲殼類罐頭","92","10","10.87%","0","0.00%"
"102","FB19-其他已調製甲殼類製品","1231","40","3.25%","0","0.00%"
"102","FB91-其他活生鮮冷藏水產品","7912","672","8.49%","5","0.74%"
"102","FB92-其他冷凍水產品","4897","459","9.37%","1","0.22%"
"102","FB93-其他水產品罐頭","347","9","2.59%","0","0.00%"
"102","FB99-其他已調製水產品","2257","146","6.47%","2","1.37%"
"102","FC01-食用花卉","28","0","0.00%","0","0.00%"
"102","FC11-生鮮冷藏冷凍蔬菜","21209","1647","7.77%","60","3.64%"
"102","FC12-暫時保藏蔬菜","99","15","15.15%","3","20.00%"
"102","FC13-乾蔬菜","2426","119","4.91%","9","7.56%"
"102","FC21-生鮮冷藏冷凍水果","23566","2321","9.85%","104","4.48%"
"102","FC22-暫時保藏水果","5","0","0.00%","0","0.00%"
"102","FC23-乾水果","3521","148","4.20%","2","1.35%"
"102","FC31-咖啡類","12339","520","4.21%","0","0.00%"
"102","FC32-茶類","7168","1669","23.28%","55","3.30%"
"102","FC33-藥食兩用","2147","565","26.32%","37","6.55%"
"102","FC34-香辛料","2285","250","10.94%","36","14.40%"
"102","FC35-米","895","893","99.78%","5","0.56%"
"102","FC36-米製品","253","9","3.56%","0","0.00%"
"102","FC37-穀物雜糧","5443","334","6.14%","2","0.60%"
"102","FC38-穀物雜糧製品","6316","275","4.35%","4","1.45%"
"102","FC39-花生製品","1431","159","11.11%","3","1.89%"
"102","FC40-乾果實","1747","120","6.87%","5","4.17%"
"102","FC41-海草類及其他植物類","2625","507","19.31%","0","0.00%"
"102","FC42-植物膠","3705","156","4.21%","8","5.13%"
"102","FD01-乳製品","22872","1319","5.77%","2","0.15%"
"102","FD02-食用油脂","6272","378","6.03%","21","5.56%"
"102","FD03-糖蜜","3289","131","3.98%","1","0.76%"
"102","FD04-糖果、巧克力","27114","1560","5.75%","2","0.13%"
"102","FD05-穀類調製品","5571","213","3.82%","0","0.00%"
"102","FD06-麵製品","11207","492","4.39%","2","0.41%"
"102","FD07-其他穀類製品","9186","431","4.69%","3","0.70%"
"102","FD08-餅乾","41854","3239","7.74%","16","0.49%"
"102","FD09-蔬果罐頭","3846","132","3.43%","1","0.76%"
"102","FD10-調製蔬果","22998","1219","5.30%","32","2.63%"
"102","FD11-糖漬蔬果","1390","72","5.18%","1","1.39%"
"102","FD12-蔬果汁","2812","141","5.01%","1","0.71%"
"102","FD13-酵母","817","52","6.36%","0","0.00%"
"102","FD14-調味醬","28604","1929","6.74%","22","1.14%"
"102","FD15-水及冰","2118","303","14.31%","0","0.00%"
"102","FD16-飲料","8452","523","6.19%","0","0.00%"
"102","FD17-蛋白產品","1632","139","8.52%","2","1.44%"
"102","FD18-鹽","1245","54","4.34%","0","0.00%"
"102","FD19-嬰幼兒食品","4063","2049","50.43%","0","0.00%"
"102","FD20-病人用及特殊營養食品","9232","346","3.75%","3","0.87%"
"102","FD21-殘渣物","101","7","6.93%","0","0.00%"
"102","FD22-明膠及改質澱粉產品","2837","125","4.41%","1","0.80%"
"102","FD23-天然色素","284","10","3.52%","1","10.00%"
"102","FD99-其他調製食品","26274","1671","6.36%","28","1.68%"
"102","FE-食品器具","78350","2242","2.86%","18","0.80%"
"103","FA01-生鮮冷藏冷凍牛肉","12425","1791","14.41%","0","0%"
"103","FA02-生鮮冷藏冷凍牛雜碎","3228","135","4.18%","0","0%"
"103","FA03-牛肉罐頭","401","13","3.24%","0","0%"
"103","FA09-其他已調製牛肉製品","41","1","2.44%","0","0%"
"103","FA11-生鮮冷藏冷凍豬肉","2444","139","5.69%","0","0%"
"103","FA12-生鮮冷藏冷凍豬雜碎","1416","70","4.94%","1","1.43%"
"103","FA13-豬肉罐頭","460","27","5.87%","0","0%"
"103","FA19-其他已調製豬肉製品","1118","37","3.31%","2","5.41%"
"103","FA21-生鮮冷藏冷凍家禽肉","5066","177","3.49%","0","0%"
"103","FA22-生鮮冷藏冷凍家禽雜碎","105","2","1.9%","0","0%"
"103","FA23-家禽罐頭","99","8","8.08%","0","0%"
"103","FA29-其他已調製家禽肉製品","125","4","3.2%","0","0%"
"103","FA31-生鮮冷藏冷凍羊肉","1373","49","3.57%","0","0%"
"103","FA32-生鮮冷藏冷凍羊雜碎","194","4","2.06%","0","0%"
"103","FA91-其他生鮮冷藏冷凍肉品","586","12","2.05%","0","0%"
"103","FA92-其他生鮮冷藏冷凍肉品雜碎","92","0","0%","0","0%"
"103","FA93-其他肉品罐頭","36","2","5.56%","0","0%"
"103","FA94-蛋製品","124","6","4.84%","0","0%"
"103","FA95-蜂產品","901","28","3.11%","1","3.57%"
"103","FA99-其他已調製肉製品","817","35","4.28%","0","0%"
"103","FB01-活生鮮冷藏魚產品","16581","2961","17.86%","6","0.2%"
"103","FB02-冷凍魚產品","10645","1403","13.18%","4","0.29%"
"103","FB03-魚罐頭","1846","84","4.55%","0","0%"
"103","FB09-其他已調製魚產品","7171","391","5.45%","5","1.28%"
"103","FB11-活生鮮冷藏甲殼類產品","17485","1489","8.52%","11","0.74%"
"103","FB12-冷凍甲殼類產品","4806","449","9.34%","11","2.45%"
"103","FB13-甲殼類罐頭","105","8","7.62%","0","0%"
"103","FB19-其他已調製甲殼類製品","1187","58","4.89%","3","5.17%"
"103","FB91-其他活生鮮冷藏水產品","8898","1178","13.24%","3","0.25%"
"103","FB92-其他冷凍水產品","5044","495","9.81%","2","0.4%"
"103","FB93-其他水產品罐頭","289","9","3.11%","0","0%"
"103","FB99-其他已調製水產品","2598","208","8.01%","1","0.48%"
"103","FC01-食用花卉","8","1","12.5%","1","100%"
"103","FC11-生鮮冷藏冷凍蔬菜","24491","2660","10.86%","154","5.79%"
"103","FC12-暫時保藏蔬菜","125","6","4.8%","0","0%"
"103","FC13-乾蔬菜","2407","199","8.27%","28","14.07%"
"103","FC21-生鮮冷藏冷凍水果","24993","2297","9.19%","91","3.96%"
"103","FC22-暫時保藏水果","4","0","0%","0","0%"
"103","FC23-乾水果","3694","238","6.44%","1","0.42%"
"103","FC31-咖啡類","13611","572","4.2%","0","0%"
"103","FC32-茶類","9631","2341","24.31%","65","2.78%"
"103","FC33-藥食兩用中藥材","2064","345","16.72%","27","7.83%"
"103","FC34-香辛料","2428","181","7.45%","20","11.05%"
"103","FC35-米","1157","1157","100%","5","0.43%"
"103","FC36-米製品","306","12","3.92%","0","0%"
"103","FC37-穀物雜糧","6820","242","3.55%","5","2.07%"
"103","FC38-穀物雜糧製品","7011","318","4.54%","8","2.52%"
"103","FC39-花生製品","1686","135","8.01%","2","1.48%"
"103","FC40-乾果實","2045","180","8.8%","5","2.78%"
"103","FC41-海草類及其他植物類","2808","705","25.11%","5","0.71%"
"103","FC42-植物膠","4454","315","7.07%","14","4.44%"
"103","FD01-乳製品","28219","1777","6.3%","6","0.34%"
"103","FD02-食用油脂","7914","1457","18.41%","21","1.44%"
"103","FD03-糖蜜","4088","202","4.94%","2","0.99%"
"103","FD04-糖果、巧克力","35035","2382","6.8%","6","0.25%"
"103","FD05-穀類調製品","5914","266","4.5%","0","0%"
"103","FD06-麵製品","16515","919","5.56%","4","0.44%"
"103","FD07-其他穀類製品","10912","595","5.45%","6","1.01%"
"103","FD08-餅乾","50071","4123","8.24%","9","0.22%"
"103","FD09-蔬果罐頭","3848","147","3.82%","2","1.36%"
"103","FD10-調製蔬果","24848","1724","6.94%","47","2.73%"
"103","FD11-糖漬蔬果","1212","92","7.59%","2","2.17%"
"103","FD12-蔬果汁","3491","239","6.85%","1","0.42%"
"103","FD13-酵毋","1237","103","8.33%","0","0%"
"103","FD14-調味醬","32879","2671","8.11%","20","0.75%"
"103","FD15-水及冰","2379","304","12.78%","0","0%"
"103","FD16-飲料","11753","777","6.61%","1","0.13%"
"103","FD17-蛋白產品","1356","87","6.42%","0","0%"
"103","FD18-鹽","1326","64","4.83%","0","0%"
"103","FD19-嬰幼兒食品","3870","2103","54.34%","0","0%"
"103","FD20-病人用及特殊營養食品","9581","518","5.41%","3","0.58%"
"103","FD21-殘渣物","115","3","2.61%","0","0%"
"103","FD22-明膠及改質澱粉產品","2972","150","5.05%","3","2%"
"103","FD23-天然色素","437","17","3.89%","0","0%"
"103","FD24-食品添加物","9313","330","3.54%","1","0.3%"
"103","FD99-其他調製食品","30249","2197","7.26%","35","1.59%"
"103","FE01-食品器具","99303","2280","2.3%","14","0.61%"
"104","FA01-生鮮冷藏冷凍牛肉","12901","399","3.10%","0","0%"
"104","FA02-生鮮冷藏冷凍牛雜碎","2464","53","2.20%","0","0%"
"104","FA03-牛肉罐頭","458","9","2%","0","0%"
"104","FA09-其他已調製牛肉製品","79","7","8.90%","0","0%"
"104","FA11-生鮮冷藏冷凍豬肉","4340","176","4.10%","0","0%"
"104","FA12-生鮮冷藏冷凍豬雜碎","1400","57","4.10%","1","1.80%"
"104","FA13-豬肉罐頭","415","18","4.30%","0","0%"
"104","FA19-其他已調製豬肉製品","1811","78","4.30%","0","0%"
"104","FA21-生鮮冷藏冷凍家禽肉","5707","130","2.30%","0","0%"
"104","FA22-生鮮冷藏冷凍家禽雜碎","160","3","1.90%","0","0%"
"104","FA23-家禽罐頭","172","21","12.20%","0","0%"
"104","FA29-其他已調製家禽肉製品","140","2","1.40%","0","0%"
"104","FA31-生鮮冷藏冷凍羊肉","1808","38","2.10%","0","0%"
"104","FA32-生鮮冷藏冷凍羊雜碎","175","3","1.70%","0","0%"
"104","FA91-其他生鮮冷藏冷凍肉品","25","1","4%","0","0%"
"104","FA92-其他生鮮冷藏冷凍肉品雜碎","3","0","0%","0","-"
"104","FA93-其他肉品罐頭","28","3","10.70%","0","0%"
"104","FA94-蛋製品","59","2","3.40%","0","0%"
"104","FA95-蜂產品","1036","56","5.40%","0","0%"
"104","FA99-其他已調製肉製品","910","32","3.50%","0","0%"
"104","FB01-活生鮮冷藏魚產品","18068","3748","20.70%","0","0%"
"104","FB02-冷凍魚產品","10720","1296","12.10%","6","0.50%"
"104","FB03-魚罐頭","2166","87","4%","0","0%"
"104","FB09-其他已調製魚產品","7945","353","4.40%","3","0.80%"
"104","FB11-活生鮮冷藏甲殼類產品","18528","1411","7.60%","11","0.80%"
"104","FB12-冷凍甲殼類產品","5678","468","8.20%","2","0.40%"
"104","FB13-甲殼類罐頭","99","3","3%","0","0%"
"104","FB19-其他已調製甲殼類製品","1537","80","5.20%","3","3.80%"
"104","FB91-其他活生鮮冷藏水產品","8837","1333","15.10%","1","0.10%"
"104","FB92-其他冷凍水產品","5292","477","9%","0","0%"
"104","FB93-其他水產品罐頭","345","13","3.80%","0","0%"
"104","FB99-其他已調製水產品","2750","190","6.90%","2","1.10%"
"104","FC01-食用花卉","9","0","0%","0","-"
"104","FC11-生鮮冷藏冷凍蔬菜","29398","3469","11.80%","234","6.70%"
"104","FC12-暫時保藏蔬菜","95","2","2.10%","0","0%"
"104","FC13-乾蔬菜","2423","194","8%","17","8.80%"
"104","FC21-生鮮冷藏冷凍水果","25209","2787","11.10%","126","4.50%"
"104","FC22-暫時保藏水果","1","0","0%","0","-"
"104","FC23-乾水果","3735","183","4.90%","2","1.10%"
"104","FC31-咖啡類","15087","696","4.60%","3","0.40%"
"104","FC32-茶類","8885","3857","43.40%","124","3.20%"
"104","FC33-藥食兩用","2447","381","15.60%","30","7.90%"
"104","FC34-香辛料","3292","235","7.10%","33","14%"
"104","FC35-米","1529","1527","99.90%","3","0.20%"
"104","FC36-米製品","358","16","4.50%","0","0%"
"104","FC37-穀物雜糧","6977","269","3.90%","0","0%"
"104","FC38-穀物雜糧製品","7912","380","4.80%","4","1.10%"
"104","FC39-花生製品","2248","143","6.40%","4","2.80%"
"104","FC40-乾果實","1803","189","10.50%","9","4.80%"
"104","FC41-海草類","2990","769","25.70%","8","1%"
"104","FC42-植物膠","4463","356","8%","5","1.40%"
"104","FD01-乳製品","31442","1857","5.90%","14","0.80%"
"104","FD02-食用油脂","8522","761","8.90%","3","0.40%"
"104","FD03-糖蜜","4116","216","5.20%","0","0%"
"104","FD04-糖果、巧克力","32993","1901","5.80%","3","0.20%"
"104","FD05-穀類調製品","6788","240","3.50%","0","0%"
"104","FD06-麵製品","17536","982","5.60%","4","0.40%"
"104","FD07-其他穀類製品","11540","666","5.80%","2","0.30%"
"104","FD08-餅乾","45298","3511","7.80%","15","0.40%"
"104","FD09-蔬果罐頭","4554","223","4.90%","5","2.20%"
"104","FD10-調製蔬果","23402","1508","6.40%","14","0.90%"
"104","FD11-糖漬蔬果","1230","68","5.50%","1","1.50%"
"104","FD12-蔬果汁","3552","212","6%","0","0%"
"104","FD13-酵毋","1351","97","7.20%","0","0%"
"104","FD14-調味醬","34196","2638","7.70%","33","1.30%"
"104","FD15-水及冰","2440","257","10.50%","0","0%"
"104","FD16-飲料","10454","582","5.60%","2","0.30%"
"104","FD17-蛋白產品","1021","43","4.20%","0","0%"
"104","FD18-鹽","1803","58","3.20%","0","0%"
"104","FD19-嬰幼兒食品","3049","1187","38.90%","0","0%"
"104","FD20-病人用及特殊營養食品","9680","445","4.60%","5","1.10%"
"104","FD21-殘渣物","111","9","8.10%","0","0%"
"104","FD22-明膠及改質澱粉產品","1418","80","5.60%","0","0%"
"104","FD23-天然色素","248","17","6.90%","0","0%"
"104","FD24-食品添加物","23123","802","3.50%","3","0.40%"
"104","FD99-其他調製食品","34523","3038","8.80%","22","0.70%"
"104","FE01-食品器具","90696","2751","3%","196","7.10%"
