標題,連結,發布日期
"104年2月16日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10803&t=s","2015-02-16"
"104年2月17日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10805&t=s","2015-02-17"
"104年2月24日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10815&t=s","2015-02-24"
"104年2月25日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10819&t=s","2015-02-25"
"104年2月26日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10833&t=s","2015-02-26"
"104年3月2日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10836&t=s","2015-03-02"
"104年3月3日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10837&t=s","2015-03-03"
"104年3月4日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10841&t=s","2015-03-04"
"104年3月5日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10842&t=s","2015-03-05"
"104年3月6日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10844&t=s","2015-03-06"
"104年3月9日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10875&t=s","2015-03-09"
"104年3月10日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10969&t=s","2015-03-10"
"104年3月11日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10972&t=s","2015-03-11"
"104年3月12日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10982&t=s","2015-03-12"
"104年3月13日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10986&t=s","2015-03-13"
"104年3月16日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10989&t=s","2015-03-16"
"104年3月17日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10990&t=s","2015-03-17"
"104年3月18日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10993&t=s","2015-03-18"
"104年3月19日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10997&t=s","2015-03-19"
"104年3月20日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11008&t=s","2015-03-20"
"104年3月23日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11010&t=s","2015-03-23"
"104年3月24日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11016&t=s","2015-03-24"
"104年3月25日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11023&t=s","2015-03-25"
"104年3月26日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11026&t=s","2015-03-26"
"104年3月27日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11037&t=s","2015-03-27"
"104年3月30日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11042&t=s","2015-03-30"
"104年3月31日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11052&t=s","2015-03-31"
"104年4月2日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11064&t=s","2015-04-02"
"104年4月8日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11095&t=s","2015-04-08"
"104年4月9日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11099&t=s","2015-04-09"
"104年4月10日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11101&t=s","2015-04-10"
"104年4月13日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12104&t=s","2015-04-13"
"104年4月17日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12272&t=s","2015-04-21"
"104年4月20日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12273&t=s","2015-04-21"
"104年4月21日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12290&t=s","2015-04-21"
"104年4月22日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12293&t=s","2015-04-22"
"104年4月23日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12294&t=s","2015-04-23"
"104年4月24日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=12295&t=s","2015-04-24"
"104年4月29日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13309&t=s","2015-04-29"
"104年4月30日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13313&t=s","2015-04-30"
"104年5月4日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13329&t=s","2015-05-04"
"104年5月5日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13331&t=s","2015-05-05"
"104年5月6日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13335&t=s","2015-05-06"
"104年5月7日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13338&t=s","2015-05-07"
"104年5月8日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13351&t=s","2015-05-08"
"104年5月12日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13359&t=s","2015-05-12"
"104年5月13日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13370&t=s","2015-05-13"
"104年5月14日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13372&t=s","2015-05-14"
"104年5月15日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13381&t=s","2015-05-15"
"104年5月18日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13387&t=s","2015-05-18"
"104年5月19日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13388&t=s","2015-05-19"
"104年5月20日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13395&t=s","2015-05-20"
"104年5月21日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13397&t=s","2015-05-21"
"104年5月22日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13404&t=s","2015-05-22"
"104年5月25日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13412&t=s","2015-05-25"
"104年5月26日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13417&t=s","2015-05-26"
"104年5月27日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13424&t=s","2015-05-27"
"104年5月29日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13428&t=s","2015-05-29"
"104年6月1日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13436&t=s","2015-06-01"
"104年6月2日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13437&t=s","2015-06-02"
"104年6月3日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13444&t=s","2015-06-03"
"104年6月4日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13452&t=s","2015-06-04"
"104年6月5日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13456&t=s","2015-06-05"
"104年6月8日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13457&t=s","2015-06-08"
"104年6月9日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13459&t=s","2015-06-09"
"104年6月10日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13460&t=s","2015-06-10"
"104年6月11日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13480&t=s","2015-06-12"
"104年6月12日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13481&t=s","2015-06-12"
"104年6月15日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13486&t=s","2015-06-15"
"104年6月16日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13488&t=s","2015-06-16"
"104年6月17日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13499&t=s","2015-06-18"
"104年6月18日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13500&t=s","2015-06-18"
"104年6月22日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13504&t=s","2015-06-22"
"104年6月23日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13507&t=s","2015-06-23"
"104年6月24日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13510&t=s","2015-06-24"
"104年6月25日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13511&t=s","2015-06-25"
"104年6月26日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13518&t=s","2015-06-26"
"104年6月29日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13527&t=s","2015-06-29"
"104年6月30日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13536&t=s","2015-06-30"
"104年7月1日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13545&t=s","2015-07-01"
"104年7月2日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13550&t=s","2015-07-02"
"104年7月3日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13561&t=s","2015-07-03"
"104年7月6日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13575&t=s","2015-07-06"
"104年7月7日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13581&t=s","2015-07-07"
"104年7月8日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13593&t=s","2015-07-08"
"104年7月9日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13605&t=s","2015-07-09"
"104年7月13日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13613&t=s","2015-07-13"
"104年7月14日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13615&t=s","2015-07-14"
"104年7月15日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13620&t=s","2015-07-15"
"104年7月16日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13623&t=s","2015-07-16"
"104年7月17日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13624&t=s","2015-07-17"
"104年7月20日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13636&t=s","2015-07-21"
"104年7月21日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13638&t=s","2015-07-21"
"104年7月22日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13649&t=s","2015-07-23"
"104年7月23日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13650&t=s","2015-07-23"
"104年7月24日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13670&t=s","2015-07-24"
"104年7月27日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13678&t=s","2015-07-27"
"104年7月28日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13686&t=s","2015-07-28"
"104年7月29日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13761&t=s","2015-07-29"
"104年7月30日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13790&t=s","2015-07-30"
"104年7月31日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13811&t=s","2015-07-31"
"104年8月3日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13825&t=s","2015-08-03"
"104年8月4日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13833&t=s","2015-08-04"
"104年8月5日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13838&t=s","2015-08-05"
"104年8月6日-日本輸入食品輻射檢測結果(採樣單位：衛生福利部食品藥物管理署)","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13850&t=s","2015-08-06"
