分類,標題,內容,附檔連結,發布日期
"醫療器材","聽說衛生棉條會增加陰道感染的風險，這是真的嗎？","解答： 聽說衛生棉條會增加陰道感染的風險，這是真的嗎？ (1) 在適當使用衛生棉條的情形下，衛生棉條並不會增加陰道感染的風險。事實上，唯有在不當使用衛生棉條的情況下才容易造成陰道感染，感染發生的原因與個人是否具備使用衛生用品的正確習慣及抵抗力程度有關。 (2) 使用衛生棉條常見的錯誤習慣有更換前未徹底清潔雙手、衛生棉條超過8小時未更換、使用衛生棉條游泳或泡湯後未立即更換、使用吸力過強的衛生棉條導致陰道周邊組織破皮損傷、或將衛生棉條放置於浴室等潮濕處導致發霉。 (3) 避免陰道感染的最好方法在於建立使用衛生用品的正確習慣，如更換衛生棉條前應徹底清潔雙手、每4~8小時應更換一次衛生棉條，以及選擇適合自己流量的衛生棉條。 (4) 當陰道感染或發炎時，不建議繼續使用衛生棉條，以免進一步感染。使用棉條期間，如果出現高燒38.9度以上、併發嘔吐和腹瀉、身體紅疹，應立即取出棉條，盡速就醫。 資料來源： 食藥署西藥、醫療器材、化粧品許可證查詢系統_衛生棉條仿單 http://www.fda.gov.tw/mlms/H0001.aspx 聯合新聞網 https://udn.com/news/story/7022/1166833 東森新聞雲 http://www.ettoday.net/news/20150611/519441.htm","","11 16 2017"
"藥品","聽說吃抗生素會傷胃，一定要配服胃藥才不會傷胃，這是真的嗎？","解答： 聽朋友說，吃抗生素會傷胃，一定要配服胃藥才不會傷胃，這是真的嗎？ (1) 消化不良、噁心、腹瀉是服用抗生素常見的副作用，一般服用抗生素時，並不建議同時服用胃藥，因為胃藥的成分常含有鋁、鎂離子，可能會降低抗生素藥效。若是本來胃不好或容易胃痛的人，胃藥服用時間建議和抗生素間隔2、3小時以上。 (2) 如果患者服用抗生素會覺得胃部不舒服，可以和少許食物併服來減少不適感，但是安比西林膠囊(Ampicillin)、四環黴素(Tetracycline)等抗生素因為和食物一起吃會影響吸收，所以都會建議空腹服用。 資料來源： 104衛生福利部疾病管制署醫院使用抗生素衛教問答集(專業人員版) http://wd.vghtpe.gov.tw/pharm/files/5.6/QA-pro.pdf 104衛生福利部疾病管制署醫院使用抗生素衛教問答集(民眾版) http://www.jct.org.tw/admin/Upload/UserFile/file/2015/0825/%E9%86%AB%E8%B5%B7%E4%BD%BF%E7%94%A8%E6%8A%97%E7%94%9F%E7%B4%A0%E8%A1%9B%E6%95%99%E5%95%8F%E7%AD%94%E9%9B%86(%E6%B0%91%E7%9C%BE%E7%89%88).pdf","","11 22 2017"
"食品","網路流傳冰高粱酒可以抗癌，還可以促進血液循環，這是真的嗎？","解答： 網路流傳高粱酒冰過之後會變成鹼性水，專門克制癌細胞，可以有效對抗癌症，還可以預防血栓、促進血液循環，這是真的嗎？ (1) 由於國人健康意識的提升，對於食品保健相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於坊間流傳「高粱酒冰過後會變鹼性水而抗癌」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2) 食藥署提醒，民眾應該保持均衡飲食，飲酒不宜過量，養成健康的生活習慣，適當運動並維持理想體重，建立正確的營養攝取觀念，才能維持身體健康。如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。","","01 27 2017"
"食品","白糖(或黑糖)蒸雞蛋真的能治咳嗽嗎？","解答： 民間流傳用白糖(或黑糖)蒸雞蛋，食用後可以治療咳嗽，這是真的嗎？ (1) 由於國人健康意識的提升，對於食品保健相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的疑慮。關於網路流傳「白糖(或黑糖)蒸雞蛋可以治咳嗽」的訊息，其內容沒有相關的資訊來源，而且也沒有科學論述依據。 (2) 食藥署提醒民眾，如有感冒或咳嗽症狀，應多喝水多休息，注重營養均衡，適時就醫，並遵醫囑治療，勿聽信偏方而延誤就醫時機。對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信，也避免再轉傳親友。","","05 23 2016"
"食品","聽說木製餐具(如木湯匙等)，為了防腐，加了很多化學藥劑與重金屬，常用會中毒，這是真的嗎？","解答： 聽說許多木製餐具(如木湯匙、木筷等)，為了防腐及耐用，添加了很多化學藥劑與重金屬，經常使用會導致中毒，這是真的嗎？ (1) 與食品或食品添加物直接接觸之食品器具容器及包裝(含木製餐具)，都應該要符合「食品安全衛生管理法」及「食品器具容器包裝衛生標準」的規定，包括不得有有毒、易生不良化學作用、足以危害健康或其他經風險評估有危害健康之虞者等情形，而「免洗筷衛生標準」中，也從嚴規定二氧化硫之殘留量，及不得檢出過氧化氫、聯苯等規定。凡是符合上述相關標準之食品容器具，即可安心使用。 (2) 食藥署提醒民眾，選購木製餐具時，一定要仔細檢視外觀、氣味以及產品說明、檢驗證明等；使用時要盡量保持乾燥清潔，並要定期更換。 參考資料： 食藥署消費者知識網「食品器具容器包裝衛生標準」 https://consumer.fda.gov.tw/Law/Detail.aspx?nodeID=518&lawid=107&k=食品器具容%u56","","05 26 2016"
"食品","中國大陸發生多起食用小龍蝦中毒事件，發生的原因不明，有人推測是使用洗蝦粉，真的嗎?","中國大陸發生多起食用小龍蝦中毒事件，發生的原因不明，有人推測是使用洗蝦粉，真的嗎? 1. 有關中國大陸發生食用小龍蝦的食物中毒事件，確切原因尚須調查。 2. 依據台灣相關法規，凡用於洗滌或消毒食品之物質，其衛生安全，應符合食品安全衛生管理法第16條之規定，包括不得有以下情形：有毒、易生不良化學作用、足以危害健康或其他經風險評估有危害健康之虞等，食品業者應依食安法第7條自主管理，確認擬用於直接清洗食品之物質及其清洗方式，符合上開有關食安法之規定，且不致於清洗後殘留而有致危害人體健康之虞，必要時應提供相關科學性資料舉證。 3. 用於食品用之消毒成分，應確認其物質成分及其清洗方式。如經使用消毒成分後，食品產品於食用前仍建議再經飲用水充分清洗或其他適當處理，避免致生危害人體健康，如經飲用水充分清洗，則應無致生危害人體健康之虞。","","08 26 2016"
"藥品","有人說類固醇傷胃傷肝傷腎，最好不要用，這是真的嗎？","解答： 常常聽朋友說，使用類固醇會傷胃傷肝傷腎，長期使用甚至會一輩子洗腎，這是真的嗎？ (1) 類固醇名為「副腎上腺皮質激素」(俗稱美國仙丹)，是人體內即可自行合成的腎上腺荷爾蒙的一種，具有抗發炎、免疫系統調節及止痛的作用，對於自體免疫疾病(如紅斑性狼瘡、腎絲球腎炎、發炎性關節炎)、氣喘、過敏性疾病等有一定的治療效果。 (2) 長期大量使用類固醇，確實可能會出現體重增加(如月亮臉、腹部堆積脂肪)、頸背部突起(俗稱水牛背)、皮膚變薄容易瘀青、血糖增高、消化道潰瘍及免疫力下降等副作用。 (3) 使用類固醇需在醫師指示下，依據病情適度控制類固醇用量，常見的問題是民眾自行購買含類固醇的藥物服用，或是在不知情的狀況下誤用類固醇藥物，使得過度使用類固醇，導致身體受到危害。食藥署提醒民眾勿亂服用來路不明的藥品，遵照專業醫師或藥師的囑咐服用藥物比較妥當。 參考資料： 衛福部彰化醫院衛教資訊 http://www.chhw.mohw.gov.tw/?aid=508&pid=101&page_name=detail&iid=1917 新光醫院衛教資訊 http://www.skh.org.tw/Neuro/mg/takecare/reaction.htm","","09 1 2016"
"食品","有人說蝦子要選活跳跳的最新鮮，這是真的嗎？","解答： 常常聽人說，市場選購蝦子時要選活跳跳的，這樣蝦子最新鮮，這是真的嗎？ (1) 水產魚貝類(包括蝦子)體內的酵素多半較陸生動物活性高，一旦離水死亡後，其體內的酵素就會立即進行反應，導致變色、異味，難以販售；而蝦子在撈捕及運送過程，容易因為擠壓而死亡，因此選購水產魚貝類食材應要更加留意。 (2) 食藥署提醒民眾，選購蝦子時不要過度相信活跳跳的蝦是最新鮮的，應注意其蝦頭與蝦身是否緊密接連無鬆脫，蝦頭明亮有光澤，蝦身自然捲曲且肉質飽滿有彈性，無軟爛或變黑，聞起來無腥味或是氨臭味者較新鮮。 參考資料： 食藥署藥物食品安全週報第569期 http://www.fda.gov.tw/tc/PublishOtherEpaperContent.aspx?id=1102&chk=30df5d49-1b35-4c1e-8689-5149aa7e3968&param=pn%3d1 財團法人中華飲食文化基金會 http://ryoritaiwan.fcdc.org.tw/article.aspx?websn=6&id=562 台灣好食材 https://www.fooding.com.tw/article-content.php?aid=103254","","09 7 2016"
"食品","聽說吃樹薯粉會中毒，所以要少吃勾芡料理，這是真的嗎？","解答： 聽說樹薯粉含有毒性物質，吃了會中毒，所以要少吃勾芡羹湯，這是真的嗎？ (1) 新鮮的樹薯塊根含有微量具有毒性之氰酸，食用後會引發噁心、嘔吐、下痢、昏眩，甚至會呼吸衰竭而死亡。 (2) 樹薯粉是將樹薯經過浸水、脫汁、壓榨、加熱和乾燥等加工過程後抽取出的澱粉，反覆加工過程可去除氰酸，因此食用市售樹薯粉不會對人體產生危害。 參考資料： 台灣食品科學技術學會 http://www.food.org.tw/TW/QADetail.aspx?PI=T6877gRzp9I%3d&QAID=8EYoWPVEbgk%3d&Keyword=tl80gjkZmMw%3d&QAType=T6877gRzp9I%3d","","05 2 2017"
"食品","常喝鮮奶茶會導致腎結石嗎？","解答： 聽說常常喝鮮奶茶會導致腎結石，這是真的嗎？ (1) 聽說茶葉富含草酸，而牛奶富含鈣質，兩者結合後會形成草酸鈣結石；實際上鈣確實會在腸道中與草酸結合，形成不溶解、不被吸收的草酸鈣，大部份都由糞便排出，並不會滯留在體內而造成腎結石。 (2) 腎結石主要有鈣結石(草酸鈣或磷酸鈣)、尿酸結石、感染性結石及膀胱酸結石等，主要原因可能有家族病因、水分攝取少、高鈉飲食、高普林飲食或是用藥狀況，如長期補充鈣片、維生素C。建議民眾多喝水，攝取足夠的鈣質，減少高鈉、高普林、高蛋白的攝取量，如有身體不適，應適時就醫診治並遵醫囑治療。 (3) 食藥署提醒，攝取過多草酸食物會影響礦物質(如：鈣、鎂、鉀等)吸收，所以在鈣質攝取方面，應避免同時食用富含草酸的食物，如：茶、啤酒、草莓、葡萄、巧克力、菠菜、芹菜、芥菜、韭菜、杏仁、腰果等，才能使吃進去的鈣充分利用，不致使鈣質缺乏。 參考資料： 台灣食品科學技術學會 http://www.food.org.tw/TW/QADetail.aspx?PI=T6877gRzp9I%3d&QAID=48ISzRKpP0U%3d&Keyword=P8GqcNrLPmE%3d&QAType=T6877gRzp9I%3d 長庚紀念醫院衛教宣導 http://www.chang-gung.com/news-1.aspx?type=Photo&id=2016093015544256954&mid=119&bid=3 台北榮總蘇澳分院衛教宣導 http://www.savh.gov.tw/savh/index.php?mo=HealthInfo&ac=health1_show&sn=6&num=70","","05 8 2017"
"化粧品","常聽人說塗抹生薑可以抑制狐臭，這是真的嗎？","解答： 坊間流傳止臭偏方用生薑塗抹或濕敷於腋下，可以抑制狐臭，這是真的嗎？ (1) 關於「生薑抑制狐臭」的偏方，內容沒有相關的資訊來源，也沒有相關科學論述依據，而且使用生薑等刺激性物質，容易造成皮膚、毛囊發炎及過敏，可能使皮膚問題更為嚴重。 (2) 食藥署提醒，對於沒有根據的偏方，應該抱持小心謹慎的態度，不要隨便輕易相信，應儘早就醫確診原因，妥善解決問題。 資料來源： 聯合報元氣網 https://health.udn.com/health/story/5971/1557950 NOWNEWS今日新聞 https://www.nownews.com/news/20170505/2510063","","09 18 2017"
"藥品","在糞便裡看到整顆的藥丸，是不是代表藥物沒有被吸收，被直接排出來了？","解答： 有些藥物直接在糞便中排出，是否代表藥效沒有吸收進人體？ (1) 隨著製藥科技進步，某些口服藥品被設計成「控制釋放」劑型，用以直接調控藥品血中濃度。當我們配水吞服這類藥品時，水分會被吸入外層不溶性的半透膜，待藥錠內的膨脹層吸水膨脹後，會將藥品從藥錠表面預先設計的雷射小孔緩慢推擠出來，使主成份被腸胃道吸收，而當上述釋放過程完成後，空藥殼會隨糞便排出。 (2) 食藥署提醒，此類屬控制釋放劑型的藥品，其服用方式應為整粒藥丸完整吞服，不可切開、壓碎或嚼碎，破壞藥丸完整性很可能造成藥品傾釋，導致藥品在血中濃度瞬間過高，而可能造成安全性疑慮。 (3) 若發現排泄物有藥丸時，無須過度驚慌，切勿自行增加藥量，可請藥師協助檢查用藥品項中，是否有可能造成此類現象的藥品。若是因為藥品劑型的緣故，屬於正常現象，並非吸收不良，可安心使用。 資料來源： 萬芳醫院用藥指導單 http://www1.wanfang.gov.tw/W402008web_new/subject/7100/patient.asp?id=180 彰化基督教醫院藥品辨識系統 http://www.cch.org.tw/drug/online_service/DRUG_03.aspx?CODE=MTKOM&D_TYPE=S","","09 21 2017"
"醫療器材","人工皮貼越久越好，是真的嗎？","解答： 人工皮貼越久越好嗎？需要多久更換一次？可以天天更換嗎？ (1) 一般而言，人工皮可黏貼2~3天，視傷口滲液狀況再進行更換，建議不可使用超過7天。人工皮與傷口接觸後，會吸收組織滲液而變白鼓起，若只有中間局部鼓起，不需更換；若有大範圍變白鼓起，且使人工皮周圍從皮膚上脫落時則需更換。 (2) 人工皮其膠體狀的親水性材質，可使傷口周圍皮膚保持濕潤，促進傷口癒合過程；另外，因其能有效吸收傷口滲出液，可延長敷料的使用時間、減少換藥次數以及避免換藥時造成傷口撕裂或拉扯，導致二次傷害。此外，由於人工皮敷料外層具有防水以及隔絕細菌、外來環境汙染物進入之功能，可維持傷口清潔，同時避免傷口進一步感染。 (3) 使用注意事項： A.使用人工皮前，應先徹底清潔雙手，並用生理食鹽水清潔傷口。 B.須待傷口及周圍皮膚表面乾燥後再黏貼，可視傷口面積裁剪敷料，覆蓋於傷口時，需大於傷口邊緣1~2公分以上，黏貼後輕壓傷口邊緣，使敷料與皮膚密合。 C.使用期間如滲出液顏色改變、傷口化膿、出現異味或發燒，應暫停使用並立即就醫。 資料來源： 快樂小藥師－簡單認識人工皮 http://mulicia.pixnet.net/blog/post/29527037-%E7%B0%A1%E5%96%AE%E8%AA%8D%E8%AD%98%E4%BA%BA%E5%B7%A5%E7%9A%AE 東森新聞雲 http://sports.ettoday.net/news/726312","","09 28 2017"
"食品","泰國水果罐頭疑似遭愛滋病患者血液汙染，這是真的嗎？","解答：有關社群網站上流傳”泰國所生產之水果罐頭疑似遭愛滋病患者血液汙染”之訊息，經我國駐泰國代表處經濟組查證，並未有此事，且泰國貿易經濟辦事處已於該處網站澄清有關泰國水果罐頭遭污染事件係為謠言。本署呼籲切勿散布不實謠言，以免觸法喔。","","04 27 2015"
"食品","LINE謠傳「第二波有毒食品」，這是真的嗎？","解答：不明人士以「醫衛部」名義，在網路散布「醫衛部公布第二波有毒食品」，列出清單點名多家咖啡、奶茶、調味乳與沖泡飲品，造成部分消費者的恐慌，另外，也有不肖分子假藉衛生福利部名義，在網路、LINE散佈「衛生福利部已公布第二波有毒食品名單」訊息等。食品藥物管理署特別聲明「絕無此事」。","","04 27 2015"
"食品","101年時網路流傳「台灣公佈第二波有毒食品---太恐怖」，這是真的嗎？","解答：101年時曾有不肖分子假藉衛生署名義在網路上散佈「台灣公佈第二波有毒食品---太恐怖」不實謠言，並以公文形式說明市售產品疑似使用非法起雲劑，同時引用「主旨：第二波 起雲劑中獎名單--醬油，發文日期：中華民國101年5月3日發文字號：署授食字第1011403078號」，造成民眾恐慌，交易市場紊亂。食品藥物管理署特別聲明「絕無此事」。","","04 27 2015"
