標題,發布日期,連結網址
"102年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第1季季報表","2013-05-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=23602&chk=6F7DACA1-995E-43BC-BF9E-0703DC92B3B9"
"102年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第2季季報表","2013-07-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=24517&chk=52912135-BEC5-4519-A6B7-A03942E925C0"
"102年食品藥物管理局公款補(捐)助團體、縣市政府及個人情形第3季季報表","2013-10-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=26186&chk=95A56892-8FDB-445F-A232-EF73FB20C6B7"
"102年食品藥物管理署公款補(捐)助團體、縣市政府及個人情形第4季季報表","2014-03-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=28931&chk=B167D511-B835-4148-B9B1-1F4EF7B503DD"
"103年食品藥物管理署公款補(捐)助團體、縣市政府及個人情形第1季季報表","2014-04-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=29511&chk=776938D0-0BDE-4624-95C0-10CBAECB56D3"
"103年食品藥物管理署公款補(捐)助團體、縣市政府及個人等情形第2季季報表","2014-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=30679&chk=384CAE80-AFF4-4929-BC8D-E5F8B2EC2176"
"103年食品藥物管理署公款補(捐)助團體、縣市政府及個人等情形第3季季報表","2014-10-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=32089&chk=E5E25193-10A1-45B2-BD82-F6B85A2AB2F1"
"103年第4季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2015-02-16","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=34378&chk=7DB098E0-552D-43FB-9C83-CCB05F1F1624"
"104年第1季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2015-04-17","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=36194&chk=4E5981CC-85B3-43ED-B752-90C0D05ADB15"
"104年第2季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2015-07-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=38659&chk=CB012D16-C80F-423F-8F0C-AE6B9EE1C26B"
"104年第3季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2015-10-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=45306&chk=2525C0AF-E221-48E6-976D-9F85FB3AF8BA"
"104年第4季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2016-01-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=49791&chk=4C00BFAD-EA82-4E6C-8513-042B1C9A0E4F"
"105年第1季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2016-04-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=51830&chk=0299BA32-475A-4493-8334-C01B559763D7"
"105年第2季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2016-07-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=56292&chk=BCF93D89-08D2-4ADA-A1B2-6E03779B7EC2"
"105年第3季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2016-10-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=58355&chk=69D3A7D2-87CC-4869-AA5B-C623C9804B30"
"105年第4季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2017-01-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=62072&chk=DFD2F50A-9DD4-4C3B-BC52-9717DE587365"
"106年第1季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2017-04-17","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=64197&chk=36E9585E-BE87-4E15-BD98-1004676F2821"
"106年第2季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2017-07-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=66270&chk=5A2D622C-CF02-4911-A591-C0F8B33707C9"
"106年第3季食品藥物管理署公款補(捐)助直轄市、縣(市)政府、民間團體及個人情形季報表","2017-10-16","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=45&id=68028&chk=632E274E-49F3-4A57-9250-9EA81246B504"
