標題,發布日期,連結
"102年度藥害救濟基金附屬單位決算分決算(審定本)","2014-09-10","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47259"
"103年度藥害救濟基金附屬單位決算分決算","2015-02-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47260"
"103年度藥害救濟基金附屬單位決算分決算(審定本)","2015-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47261"
"103年度藥害救濟基金附屬單位決算分決算(審定本)","2015-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=47262"
"103年度衛生福利部食品藥物管理署單位決算(審定本)XML及PDF","2015-08-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=48179"
"100年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2012-08-31","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=48180"
"104年度衛生福利部食品藥物管理署單位決算","2016-02-16","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=50257"
"104年度藥害救濟基金附屬單位決算分決算","2016-02-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=50303"
"104年度管制藥品製藥工廠作業基金附屬單位決算","2016-02-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=50337"
"104年度管制藥品製藥工廠作業基金附屬單位決算","2016-02-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=50338"
"104年度食品安全保護基金附屬單位決算分決算","2016-02-18","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=54046"
"104年度藥害救濟基金附屬單位決算分決算(審定本)","2016-09-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57055"
"104年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2016-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57080"
"104年度管制藥品製藥工廠作業基金附屬單位決算(審定本)","2016-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57081"
"104年度食品安全保護基金附屬單位決算分決算(審定本)","2016-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57082"
"104年度食品安全保護基金附屬單位決算分決算(審定本)","2016-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57083"
"104年度藥害救濟基金附屬單位決算分決算(審定本)","2016-09-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57091"
"104年度衛生福利部食品藥物管理署單位決算(審定本)","2016-09-10","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57206"
"104年度衛生福利部食品藥物管理署單位決算(審定本)","2016-09-10","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=57207"
"105年度食品安全保護基金附屬單位決算分決算","2017-02-22","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62930"
"105年度藥害救濟基金附屬單位決算分決算","2017-03-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63119"
"105年度藥害救濟基金附屬單位決算分決算","2017-03-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63120"
"105年度管制藥品製藥工廠作業基金附屬單位決算","2017-03-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63239"
"105年度管制藥品製藥工廠作業基金附屬單位決算","2017-03-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63717"
"105年度食品安全保護基金附屬單位決算分決算","2017-02-22","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63719"
"105年度衛生福利部食品藥物管理署單位決算","2017-03-20","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64679"
"105年度衛生福利部食品藥物管理署單位決算(審定本)","2017-08-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=66822"
"105年度衛生福利部食品藥物管理署單位決算(審定本)","2017-08-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=66823"
